sample	lat	lon	Year_stored		
AUS_WAL_OA_001	-29.2893	150.992	2008		
AUS_WAL_OA_0010	-29.2893	150.992	2008		
AUS_WAL_OA_0011	-29.2893	150.992	2008		
AUS_WAL_OA_0012	-29.2893	150.992	2008		
AUS_WAL_OA_0013	-29.2893	150.992	2008		
AUS_WAL_OA_0014	-29.2893	150.992	2008		
AUS_WAL_OA_0015	-29.2893	150.992	2008		
AUS_WAL_OA_008	-29.2893	150.992	2008		
AUS_WAL_OA_009	-29.2893	150.992	2008		
AUS_WAL_OA_010	-29.2893	150.992	2008		
AUS_WAL_OA_011	-29.2893	150.992	2008		
AUS_WAL_OA_012	-29.2893	150.992	2008		
AUS_WAL_OA_013	-29.2893	150.992	2008		
AUS_WAL_OA_014	-29.2893	150.992	2008		
AUS_WAL_OA_015	-29.2893	150.992	2008		
BEN_BEN_OA_001	9.3077	2.3158	2002		
BEN_BEN_OA_0010	9.3077	2.3158	2002		
BEN_BEN_OA_0011	9.3077	2.3158	2002		
BEN_BEN_OA_0012	9.3077	2.3158	2002		
BEN_BEN_OA_0015	9.3077	2.3158	2002		
BEN_BEN_OA_006	9.3077	2.3158	2002		
BEN_BEN_OA_007	9.3077	2.3158	2002		
BEN_BEN_OA_008	9.3077	2.3158	2002		
BEN_BEN_OA_009	9.3077	2.3158	2002		
BEN_BEN_OA_010	9.3077	2.3158	2002		
BEN_BEN_OA_011	9.3077	2.3158	2002		
BEN_BEN_OA_012	9.3077	2.3158	2002		
BEN_BEN_OA_013	9.3077	2.3158	2002		
BRA_BRA_OA_001	-14.2350	-51.9253	2003		
BRA_BRA_OA_0010	-14.2350	-51.9253	2003		
BRA_BRA_OA_0011	-14.2350	-51.9253	2003		
BRA_BRA_OA_0012	-14.2350	-51.9253	2003		
BRA_BRA_OA_0013	-14.2350	-51.9253	2003		
BRA_BRA_OA_0014	-14.2350	-51.9253	2003		
BRA_BRA_OA_0015	-14.2350	-51.9253	2003		
BRA_BRA_OA_008	-14.2350	-51.9253	2003		
BRA_BRA_OA_009	-14.2350	-51.9253	2003		
BRA_BRA_OA_010	-14.2350	-51.9253	2003		
BRA_BRA_OA_011	-14.2350	-51.9253	2003		
BRA_BRA_OA_012	-14.2350	-51.9253	2003		
BRA_BRA_OA_013	-14.2350	-51.9253	2003		
BRA_BRA_OA_014	-14.2350	-51.9253	2003		
BRA_BRA_OA_015	-14.2350	-51.9253	2003		
CAP_CAP_CH_001	16.5388	-23.0418	1999		
CAP_CAP_CH_0010	16.5388	-23.0418	1999		
CAP_CAP_CH_0011	16.5388	-23.0418	1999		
CAP_CAP_CH_0012	16.5388	-23.0418	1999		
CAP_CAP_CH_0013	16.5388	-23.0418	1999		
CAP_CAP_CH_0014	16.5388	-23.0418	1999		
CAP_CAP_CH_0015	16.5388	-23.0418	1999		
CAP_CAP_CH_008	16.5388	-23.0418	1999		
CAP_CAP_CH_009	16.5388	-23.0418	1999		
CAP_CAP_CH_010	16.5388	-23.0418	1999		
CAP_CAP_CH_011	16.5388	-23.0418	1999		
CAP_CAP_CH_012	16.5388	-23.0418	1999		
CAP_CAP_CH_013	16.5388	-23.0418	1999		
CAP_CAP_CH_014	16.5388	-23.0418	1999		
FRA_BER_CH_001	46.3237	-0.4648	1999		
FRA_BER_CH_002	46.3237	-0.4648	1999		
FRA_BER_CH_003	46.3237	-0.4648	1999		
FRA_BER_CH_004	46.3237	-0.4648	1999		
FRA_BOL_CH_001	46.3237	-0.4648	1999		
FRA_BOL_CH_002	46.3237	-0.4648	1999		
FRA_BOL_CH_003	46.3237	-0.4648	1999		
FRA_BOL_CH_004	46.3237	-0.4648	1999		
FRA_CER_CH_001	46.3237	-0.4648	1998		
FRA_CER_CH_002	46.3237	-0.4648	1998		
FRA_CER_CH_003	46.3237	-0.4648	1998		
FRA_CER_CH_004	46.3237	-0.4648	1998		
FRA_DEL_OA_001	43.1866	-0.9449	2005		
FRA_DEL_OA_002	43.1866	-0.9449	2005		
FRA_DEL_OA_003	43.1866	-0.9449	2005		
FRA_DEL_OA_004	43.1866	-0.9449	2005		
FRA_GAR_OA_001	43.1866	-0.9449	2005		
FRA_GAR_OA_002	43.1866	-0.9449	2005		
FRA_GAR_OA_003	43.1866	-0.9449	2005		
FRA_GAR_OA_004	43.1866	-0.9449	2005		
FRA_GCH_CH_001	46.3237	-0.4648	1999		
FRA_GCH_CH_002	46.3237	-0.4648	1999		
FRA_GCH_CH_003	46.3237	-0.4648	1999		
FRA_GCH_CH_004	46.3237	-0.4648	1999		
FRA_GRO_CH_001	46.3237	-0.4648	1999		
FRA_GRO_CH_002	46.3237	-0.4648	1999		
FRA_GRO_CH_003	46.3237	-0.4648	1999		
FRA_GRO_CH_004	46.3237	-0.4648	1999		
FRA_HAI_OA_001	43.9251	2.1486	2009		
FRA_HAI_OA_002	43.9251	2.1486	2009		
FRA_HAI_OA_003	43.9251	2.1486	2009		
