FRG	STO	131914634	20398395
FRA.1	FRG	180457307	124538325
AUS.2	STA.1	68495587	27800160
AUS.2	MOR	50781369	17683527
IND	STO	21216569	2347883
FRA.1	IND	180457307	5700908
MOR	STA.3	57472803	21071567
AUS.1	FRA.1	180457307	111282023
FRG	NAM	131914634	61050248
STA.3	STO	57472803	15069907
AUS.1	IND	116548024	5848620
MOR	STA.1	68495587	21135466
NAM	STO	69608125	16718505
AUS.2	IND	50781369	4605908
AUS.1	STA.3	116548024	48466210
MOR	NAM	69608125	23264247
STA.1	STO	68495587	13718769
AUS.1	MOR	116548024	28492246
FRA.1	STO	180457307	20326259
AUS.1	STO	116548024	18091131
AUS.1	AUS.2	116548024	43594230
FRG	IND	131914634	5297874
AUS.2	NAM	69608125	28897209
IND	STA.3	57472803	4377500
IND	MOR	32638114	3740534
IND	STA.1	68495587	4686483
AUS.1	FRG	131914634	91491861
FRA.1	STA.1	180457307	64123650
AUS.1	STA.1	116548024	52552651
AUS.2	STO	50781369	10826581
MOR	STO	32638114	10603135
NAM	STA.1	69608125	38600338
AUS.2	STA.3	57472803	26534797
AUS.1	NAM	116548024	55346542
FRG	STA.3	131914634	50651392
IND	NAM	69608125	4359539
FRG	STA.1	131914634	55019413
FRA.1	MOR	180457307	31744043
STA.1	STA.3	68495587	34481652
AUS.2	FRG	131914634	42986062
FRG	MOR	131914634	30188589
FRA.1	STA.3	180457307	55092980
AUS.2	FRA.1	180457307	49676669
NAM	STA.3	69608125	42386958
FRA.1	NAM	180457307	66174541
