time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.97961e-06	9994.58
1	4.97961e-06	1.11389e-05	9994.58
2	1.11389e-05	1.87573e-05	1650.44
3	1.87573e-05	2.81806e-05	1202.57
4	2.81806e-05	3.98362e-05	1018.48
5	3.98362e-05	5.4253e-05	919.243
6	5.4253e-05	7.20853e-05	858.186
7	7.20853e-05	9.4142e-05	818.272
8	9.4142e-05	0.000121424	791.613
9	0.000121424	0.000155169	773.759
10	0.000155169	0.000196909	761.937
11	0.000196909	0.000248536	754.243
12	0.000248536	0.000312394	749.42
13	0.000312394	0.000391381	746.571
14	0.000391381	0.000489079	745.093
15	0.000489079	0.000609922	744.565
16	0.000609922	0.000759393	744.678
17	0.000759393	0.000944274	745.219
18	0.000944274	0.00117295	746.011
19	0.00117295	0.00145581	746.9
20	0.00145581	0.00180567	747.718
21	0.00180567	0.00223842	748.258
22	0.00223842	0.00277368	748.261
23	0.00277368	0.00343575	747.433
24	0.00343575	0.00425467	745.483
25	0.00425467	0.00526758	742.144
26	0.00526758	0.00652046	737.184
27	0.00652046	0.00807015	727.499
28	0.00807015	0.00998696	727.499
29	0.00998696	0.0123579	701.106
30	0.0123579	0.0152904	701.106
31	0.0152904	inf	701.106
