time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.13356e-06	10511.1
1	7.13356e-06	1.59571e-05	10511.1
2	1.59571e-05	2.68709e-05	1679.95
3	2.68709e-05	4.03702e-05	1119.44
4	4.03702e-05	5.70675e-05	857.072
5	5.70675e-05	7.77204e-05	712.936
6	7.77204e-05	0.000103266	627.358
7	0.000103266	0.000134864	574.199
8	0.000134864	0.000173946	540.536
9	0.000173946	0.000222288	519.258
10	0.000222288	0.000282082	506.068
11	0.000282082	0.000356042	498.226
12	0.000356042	0.000447522	493.927
13	0.000447522	0.000560674	491.978
14	0.000560674	0.000700632	491.581
15	0.000700632	0.000873747	492.218
16	0.000873747	0.00108787	493.539
17	0.00108787	0.00135272	495.307
18	0.00135272	0.00168032	497.347
19	0.00168032	0.00208552	499.508
20	0.00208552	0.00258672	501.635
21	0.00258672	0.00320665	503.543
22	0.00320665	0.00397345	505.018
23	0.00397345	0.0049219	505.838
24	0.0049219	0.00609504	505.818
25	0.00609504	0.0075461	504.835
26	0.0075461	0.00934091	502.845
27	0.00934091	0.0115609	498.829
28	0.0115609	0.0143069	498.829
29	0.0143069	0.0177033	489.63
30	0.0177033	0.0219044	489.63
31	0.0219044	inf	489.63
