time_index	left_time_boundary	right_time_boundary	lambda
0	0	5.13649e-06	4684.33
1	5.13649e-06	1.14898e-05	4684.33
2	1.14898e-05	1.93483e-05	783.192
3	1.93483e-05	2.90684e-05	701.352
4	2.90684e-05	4.10912e-05	679.619
5	4.10912e-05	5.59623e-05	676.642
6	5.59623e-05	7.43564e-05	679.737
7	7.43564e-05	9.7108e-05	684.71
8	9.7108e-05	0.00012525	690.046
9	0.00012525	0.000160058	695.167
10	0.000160058	0.000203112	699.866
11	0.000203112	0.000256366	704.105
12	0.000256366	0.000322237	707.904
13	0.000322237	0.000403711	711.305
14	0.000403711	0.000504488	714.372
15	0.000504488	0.000629138	717.151
16	0.000629138	0.000783319	719.677
17	0.000783319	0.000974024	721.968
18	0.000974024	0.00120991	724.023
19	0.00120991	0.00150167	725.815
20	0.00150167	0.00186256	727.29
21	0.00186256	0.00230894	728.344
22	0.00230894	0.00286107	728.812
23	0.00286107	0.003544	728.455
24	0.003544	0.00438871	726.942
25	0.00438871	0.00543354	723.79
26	0.00543354	0.00672589	718.322
27	0.00672589	0.0083244	705.374
28	0.0083244	0.0103016	705.374
29	0.0103016	0.0127472	667.411
30	0.0127472	0.0157722	667.411
31	0.0157722	inf	667.411
