time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.0473e-06	2894.49
1	7.0473e-06	1.57641e-05	2894.49
2	1.57641e-05	2.6546e-05	745.504
3	2.6546e-05	3.98821e-05	614.407
4	3.98821e-05	5.63775e-05	554.821
5	5.63775e-05	7.67807e-05	526.63
6	7.67807e-05	0.000102017	514.042
7	0.000102017	0.000133233	509.221
8	0.000133233	0.000171843	508.221
9	0.000171843	0.000219601	509.109
10	0.000219601	0.000278672	510.962
11	0.000278672	0.000351737	513.302
12	0.000351737	0.000442111	515.866
13	0.000442111	0.000553895	518.493
14	0.000553895	0.000692161	521.087
15	0.000692161	0.000863182	523.588
16	0.000863182	0.00107472	525.962
17	0.00107472	0.00133637	528.192
18	0.00133637	0.00166	530.265
19	0.00166	0.00206031	532.168
20	0.00206031	0.00255545	533.877
21	0.00255545	0.00316788	535.347
22	0.00316788	0.00392541	536.518
23	0.00392541	0.00486239	537.318
24	0.00486239	0.00602134	537.685
25	0.00602134	0.00745486	537.569
26	0.00745486	0.00922797	536.932
27	0.00922797	0.0114211	535.242
28	0.0114211	0.0141339	535.242
29	0.0141339	0.0174893	530.261
30	0.0174893	0.0216395	530.261
31	0.0216395	inf	530.261
