time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.66893e-06	1920.22
1	4.66893e-06	1.04439e-05	1920.22
2	1.04439e-05	1.7587e-05	330.468
3	1.7587e-05	2.64224e-05	380.18
4	2.64224e-05	3.73508e-05	429.819
5	3.73508e-05	5.08682e-05	478.922
6	5.08682e-05	6.75879e-05	525.906
7	6.75879e-05	8.82685e-05	568.78
8	8.82685e-05	0.000113848	606.509
9	0.000113848	0.000145488	639.052
10	0.000145488	0.000184623	666.859
11	0.000184623	0.00023303	690.54
12	0.00023303	0.000292904	710.656
13	0.000292904	0.000366962	727.742
14	0.000366962	0.000458565	742.25
15	0.000458565	0.000571869	754.584
16	0.000571869	0.000712015	765.074
17	0.000712015	0.000885361	774.014
18	0.000885361	0.00109977	781.628
19	0.00109977	0.00136498	788.092
20	0.00136498	0.00169302	793.514
21	0.00169302	0.00209876	797.941
22	0.00209876	0.00260063	801.372
23	0.00260063	0.00322139	803.779
24	0.00322139	0.00398922	805.13
25	0.00398922	0.00493894	805.356
26	0.00493894	0.00611365	804.363
27	0.00611365	0.00756665	800.867
28	0.00756665	0.00936387	800.867
29	0.00936387	0.0115869	790.112
30	0.0115869	0.0143365	790.112
31	0.0143365	inf	790.112
