time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.43538e-06	3691.12
1	3.43538e-06	7.68461e-06	3691.12
2	7.68461e-06	1.29405e-05	779.987
3	1.29405e-05	1.94415e-05	789.321
4	1.94415e-05	2.74826e-05	814.911
5	2.74826e-05	3.74286e-05	847.966
6	3.74286e-05	4.97309e-05	883.692
7	4.97309e-05	6.49476e-05	917.899
8	6.49476e-05	8.37692e-05	948.393
9	8.37692e-05	0.00010705	974.574
10	0.00010705	0.000135845	996.689
11	0.000135845	0.000171463	1015.3
12	0.000171463	0.000215518	1031.01
13	0.000215518	0.00027001	1044.32
14	0.00027001	0.000337411	1055.66
15	0.000337411	0.000420779	1065.34
16	0.000420779	0.000523898	1073.62
17	0.000523898	0.000651445	1080.69
18	0.000651445	0.000809209	1086.69
19	0.000809209	0.00100435	1091.7
20	0.00100435	0.00124571	1095.74
21	0.00124571	0.00154426	1098.75
22	0.00154426	0.00191353	1100.64
23	0.00191353	0.00237029	1101.24
24	0.00237029	0.00293525	1100.35
25	0.00293525	0.00363405	1097.69
26	0.00363405	0.0044984	1092.83
27	0.0044984	0.00556751	1081.4
28	0.00556751	0.0068899	1081.4
29	0.0068899	0.00852556	1046.69
30	0.00852556	0.0105487	1046.69
31	0.0105487	inf	1046.69
