"","GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","classicKS","elimKS"
"1","GO:0009898","cytoplasmic side of plasma membrane",20,0,0.58,75,"1.00","0.0038","0.0038"
"2","GO:0005815","microtubule organizing center",53,0,1.52,76,"1.00","0.5878","0.0089"
"3","GO:0005654","nucleoplasm",134,2,3.85,77,"1.00","0.3483","0.0105"
"4","GO:0005581","collagen trimer",235,4,6.76,69,"0.91","0.0115","0.0115"
"5","GO:0000785","chromatin",77,0,2.21,78,"1.00","0.0121","0.0122"
"6","GO:0043025","neuronal cell body",107,2,3.08,65,"0.82","0.0135","0.0135"
"7","GO:0051233","spindle midzone",17,0,0.49,79,"1.00","0.0150","0.0150"
"8","GO:0005813","centrosome",44,0,1.27,80,"1.00","0.0160","0.0160"
"9","GO:0044451","nucleoplasm part",106,2,3.05,81,"1.00","0.1230","0.0200"
"10","GO:0044297","cell body",120,2,3.45,82,"1.00","0.8610","0.0222"
"11","GO:0016010","dystrophin-associated glycoprotein complex",10,0,0.29,83,"1.00","0.0380","0.0380"
"12","GO:0090665","glycoprotein complex",10,0,0.29,84,"1.00","1.0000","0.0380"
"13","GO:0045335","phagocytic vesicle",20,0,0.58,85,"1.00","0.0387","0.0387"
"14","GO:0036477","somatodendritic compartment",123,3,3.54,86,"1.00","1.0000","0.0440"
"15","GO:0032040","small-subunit processome",13,0,0.37,87,"1.00","0.0454","0.0454"
"16","GO:0005891","voltage-gated calcium channel complex",14,1,0.4,30,"0.34","0.0488","0.0488"
