lat	lon	sample	Year_stored	reg	iso	iso2	geo	mcov	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	ivm
-0.7893	113.9213	IND_IND_CH_002	1996	IND	IND	IND	Oceania	12.68	262	80	89	296	308	219	89	263	262	264	257	3561	366	213	19	1060	656	754	974	0
-0.7893	113.9213	IND_IND_CH_003	1996	IND	IND	IND	Oceania	1.24	262	80	89	296	308	219	89	263	262	264	257	3561	366	213	19	1060	656	754	974	0
-0.7893	113.9213	IND_IND_CH_004	1996	IND	IND	IND	Oceania	1.29	262	80	89	296	308	219	89	263	262	264	257	3561	366	213	19	1060	656	754	974	0
-0.7893	113.9213	IND_IND_CH_005	1996	IND	IND	IND	Oceania	11.07	262	80	89	296	308	219	89	263	262	264	257	3561	366	213	19	1060	656	754	974	0
-0.7893	113.9213	IND_IND_CH_006	1996	IND	IND	IND	Oceania	0.65	262	80	89	296	308	219	89	263	262	264	257	3561	366	213	19	1060	656	754	974	0
-0.7893	113.9213	IND_IND_CH_007	1996	IND	IND	IND	Oceania	2.77	262	80	89	296	308	219	89	263	262	264	257	3561	366	213	19	1060	656	754	974	0
-14.235	-51.9253	BRA_BRA_OA_0013	2003	BRA	BRA	BRA	South.America	5.15	256	131	71	1117	339	155	184	262	240	266	239	1509	264	4	79	739	14	411	42	0
-14.235	-51.9253	BRA_BRA_OA_0015	2003	BRA	BRA	BRA	South.America	5.39	256	131	71	1117	339	155	184	262	240	266	239	1509	264	4	79	739	14	411	42	0
-22.9576	18.4904	NAM_NAM_CH_001	1998	NAM	NAM	NAM	Sub.Tropical.Africa	6.8	197	174	57	4242	328	27	301	235	137	243	137	281	60	0	92	171	4	141	4	0
-22.9576	18.4904	NAM_NAM_CH_0010	1998	NAM	NAM	NAM	Sub.Tropical.Africa	14.14	197	174	57	4242	328	27	301	235	137	243	137	281	60	0	92	171	4	141	4	0
-22.9576	18.4904	NAM_NAM_CH_0011	1998	NAM	NAM	NAM	Sub.Tropical.Africa	4.73	197	174	57	4242	328	27	301	235	137	243	137	281	60	0	92	171	4	141	4	0
-22.9576	18.4904	NAM_NAM_CH_0012	1998	NAM	NAM	NAM	Sub.Tropical.Africa	3.2	197	174	57	4242	328	27	301	235	137	243	137	281	60	0	92	171	4	141	4	0
-22.9576	18.4904	NAM_NAM_CH_0013	1998	NAM	NAM	NAM	Sub.Tropical.Africa	3.36	197	174	57	4242	328	27	301	235	137	243	137	281	60	0	92	171	4	141	4	0
