region	chr	midPos	Nsites
(1,1)(31183353,31183353)(31183353,31183354)	3_Celeg_TT	31183353	2	0.091412
(2,2)(31183354,31183354)(31183354,31183355)	3_Celeg_TT	31183354	2	0.092431
(3,3)(31183355,31183355)(31183355,31183356)	3_Celeg_TT	31183355	2	0.091470
(4,4)(31183356,31183356)(31183356,31183357)	3_Celeg_TT	31183356	2	0.089901
(5,5)(31183357,31183357)(31183357,31183358)	3_Celeg_TT	31183357	2	0.092410
(6,6)(31183358,31183358)(31183358,31183359)	3_Celeg_TT	31183358	2	0.089869
(7,7)(31183359,31183359)(31183359,31183360)	3_Celeg_TT	31183359	2	0.086051
(8,8)(31183360,31183360)(31183360,31183361)	3_Celeg_TT	31183360	2	0.085840
(9,9)(31183361,31183361)(31183361,31183362)	3_Celeg_TT	31183361	2	0.086527
(10,10)(31183362,31183362)(31183362,31183363)	3_Celeg_TT	31183362	2	0.085881
(11,11)(31183363,31183363)(31183363,31183364)	3_Celeg_TT	31183363	2	0.085681
(12,12)(31183364,31183364)(31183364,31183365)	3_Celeg_TT	31183364	2	0.087660
(13,13)(31183365,31183365)(31183365,31183366)	3_Celeg_TT	31183365	2	0.089958
(14,14)(31183366,31183366)(31183366,31183367)	3_Celeg_TT	31183366	2	0.086524
(15,15)(31183367,31183367)(31183367,31183368)	3_Celeg_TT	31183367	2	0.087363
(16,16)(31183368,31183368)(31183368,31183369)	3_Celeg_TT	31183368	2	0.084886
(17,17)(31183369,31183369)(31183369,31183370)	3_Celeg_TT	31183369	2	0.085885
(18,18)(31183370,31183370)(31183370,31183371)	3_Celeg_TT	31183370	2	0.084828
(19,19)(31183371,31183371)(31183371,31183372)	3_Celeg_TT	31183371	2	0.084724
(20,20)(31183372,31183372)(31183372,31183373)	3_Celeg_TT	31183372	2	0.085135
(21,21)(31183373,31183373)(31183373,31183374)	3_Celeg_TT	31183373	2	0.082561
(22,22)(31183374,31183374)(31183374,31183375)	3_Celeg_TT	31183374	2	0.077485
(23,23)(31183375,31183375)(31183375,31183376)	3_Celeg_TT	31183375	2	0.082099
(24,24)(31183376,31183376)(31183376,31183377)	3_Celeg_TT	31183376	2	0.072317
(25,25)(31183377,31183377)(31183377,31183378)	3_Celeg_TT	31183377	2	0.073657
(26,26)(31183378,31183378)(31183378,31183379)	3_Celeg_TT	31183378	2	0.072398
(27,27)(31183379,31183379)(31183379,31183380)	3_Celeg_TT	31183379	2	0.071461
(28,28)(31183380,31183380)(31183380,31183381)	3_Celeg_TT	31183380	2	0.071443
(29,29)(31183381,31183381)(31183381,31183382)	3_Celeg_TT	31183381	2	0.071449
(30,30)(31183382,31183382)(31183382,31183383)	3_Celeg_TT	31183382	2	0.070735
(31,31)(31183383,31183383)(31183383,31183384)	3_Celeg_TT	31183383	2	0.071570
(32,32)(31183384,31183384)(31183384,31183385)	3_Celeg_TT	31183384	2	0.070342
(33,33)(31183385,31183385)(31183385,31183386)	3_Celeg_TT	31183385	2	0.076946
(34,34)(31183386,31183386)(31183386,31183387)	3_Celeg_TT	31183386	2	0.078240
(35,35)(31183389,31183389)(31183389,31183390)	3_Celeg_TT	31183389	2	0.071067
(36,36)(31183390,31183390)(31183390,31183391)	3_Celeg_TT	31183390	2	0.067613
(37,37)(31183391,31183391)(31183391,31183392)	3_Celeg_TT	31183391	2	0.066088
(38,38)(31183392,31183392)(31183392,31183393)	3_Celeg_TT	31183392	2	0.068460
(39,39)(31183397,31183397)(31183397,31183398)	3_Celeg_TT	31183397	2	0.066066
(40,40)(31183398,31183398)(31183398,31183399)	3_Celeg_TT	31183398	2	0.063699
(41,41)(31183399,31183399)(31183399,31183400)	3_Celeg_TT	31183399	2	0.061843
(42,42)(31183400,31183400)(31183400,31183401)	3_Celeg_TT	31183400	2	0.063668
(43,43)(31183401,31183401)(31183401,31183402)	3_Celeg_TT	31183401	2	0.059616
(44,44)(31183402,31183402)(31183402,31183403)	3_Celeg_TT	31183402	2	0.056130
(45,45)(31183403,31183403)(31183403,31183404)	3_Celeg_TT	31183403	2	0.054663
(46,46)(31183404,31183404)(31183404,31183405)	3_Celeg_TT	31183404	2	0.061239
(47,47)(31183405,31183405)(31183405,31183406)	3_Celeg_TT	31183405	2	0.111393
(48,48)(31183406,31183406)(31183406,31183407)	3_Celeg_TT	31183406	2	0.052607
(49,49)(31183407,31183407)(31183407,31183408)	3_Celeg_TT	31183407	2	0.054100
(50,50)(31183408,31183408)(31183408,31183409)	3_Celeg_TT	31183408	2	0.051444
(51,51)(31183409,31183409)(31183409,31183410)	3_Celeg_TT	31183409	2	0.054127
(52,52)(31183410,31183410)(31183410,31183411)	3_Celeg_TT	31183410	2	0.054438
(53,53)(31183411,31183411)(31183411,31183412)	3_Celeg_TT	31183411	2	0.054438
(54,54)(31183412,31183412)(31183412,31183413)	3_Celeg_TT	31183412	2	0.050051
(55,55)(31183413,31183413)(31183413,31183414)	3_Celeg_TT	31183413	2	0.051541
(56,56)(31183414,31183414)(31183414,31183415)	3_Celeg_TT	31183414	2	0.054465
(57,57)(31183415,31183415)(31183415,31183416)	3_Celeg_TT	31183415	2	0.057239
(58,58)(31183416,31183416)(31183416,31183417)	3_Celeg_TT	31183416	2	0.054259
(59,59)(31183417,31183417)(31183417,31183418)	3_Celeg_TT	31183417	2	0.051082
(60,60)(31183418,31183418)(31183418,31183419)	3_Celeg_TT	31183418	2	0.054086
(61,61)(31183419,31183419)(31183419,31183420)	3_Celeg_TT	31183419	2	0.050678
(62,62)(31183420,31183420)(31183420,31183421)	3_Celeg_TT	31183420	2	0.049437
(63,63)(31183421,31183421)(31183421,31183422)	3_Celeg_TT	31183421	2	0.057230
(64,64)(31183422,31183422)(31183422,31183423)	3_Celeg_TT	31183422	2	0.049782
(65,65)(31183423,31183423)(31183423,31183424)	3_Celeg_TT	31183423	2	0.055021
(66,66)(31183424,31183424)(31183424,31183425)	3_Celeg_TT	31183424	2	0.048061
(67,67)(31183425,31183425)(31183425,31183426)	3_Celeg_TT	31183425	2	0.050778
(68,68)(31183426,31183426)(31183426,31183427)	3_Celeg_TT	31183426	2	0.052099
(69,69)(31183427,31183427)(31183427,31183428)	3_Celeg_TT	31183427	2	0.057231
(70,70)(31183428,31183428)(31183428,31183429)	3_Celeg_TT	31183428	2	0.050769
(71,71)(31183429,31183429)(31183429,31183430)	3_Celeg_TT	31183429	2	0.009793
(72,72)(31183430,31183430)(31183430,31183431)	3_Celeg_TT	31183430	2	0.057376
(73,73)(31183431,31183431)(31183431,31183432)	3_Celeg_TT	31183431	2	0.050954
(74,74)(31183432,31183432)(31183432,31183433)	3_Celeg_TT	31183432	2	0.057367
(75,75)(31183433,31183433)(31183433,31183434)	3_Celeg_TT	31183433	2	0.051262
(76,76)(31183434,31183434)(31183434,31183435)	3_Celeg_TT	31183434	2	0.049118
(77,77)(31183435,31183435)(31183435,31183436)	3_Celeg_TT	31183435	2	0.055944
(78,78)(31183436,31183436)(31183436,31183437)	3_Celeg_TT	31183436	2	0.049221
(79,79)(31183437,31183437)(31183437,31183438)	3_Celeg_TT	31183437	2	0.055404
(80,80)(31183438,31183438)(31183438,31183439)	3_Celeg_TT	31183438	2	0.050099
(81,81)(31183439,31183439)(31183439,31183440)	3_Celeg_TT	31183439	2	0.044656
