c	up	dw	sco
1	141184	143184	5.817802
1	1410174	1412174	9.075367
1	1411184	1413184	9.467392
1	1412174	1414174	6.980394
1	1413184	1415184	10.497767
1	1414174	1416174	8.397435
1	6781240	6783240	6.719213
1	6831240	6833240	5.797349
1	8567212	8569212	12.52967
1	8569212	8571212	10.446004
1	8809212	8811212	5.960628
1	9369212	9371212	6.097379
1	9371212	9373212	6.09613
1	9596037	9598037	6.501518
1	9800087	9802087	7.661704
1	9802087	9804087	7.085881
1	9841212	9843212	6.719418
1	10172037	10174037	8.438756
1	10174037	10176037	8.439567
1	11884087	11886087	7.253447
1	11886087	11888087	7.843026
1	11888087	11890087	8.466627
1	14630933	14632933	5.905327
1	14632933	14634933	5.797089
1	17918933	17920933	5.812521
1	23620572	23622572	7.85003334907212
1	24990650	24992650	6.354697
1	24990661	24992661	14.926651
1	24992650	24994650	6.893825
1	24992661	24994661	14.914246
1	24994650	24996650	6.384906
1	24994661	24996661	13.212519
1	25924650	25926650	6.186951
1	25926650	25928650	6.183174
1	28664661	28666661	5.792636
1	28666661	28668661	5.813781
1	30646136	30648136	6.212243
1	30650136	30652136	7.746468
1	31036136	31038136	7.220729
1	31038136	31040136	10.014775
1	31040136	31042136	10.361558
1	31768136	31770136	8.774289
1	31770136	31772136	8.773269
1	32740508	32742508	7.098139
1	34166136	34168136	6.113423
1	34168136	34170136	6.114199
1	37670444	37672444	7.777926
1	37768802	37770802	7.007848
2	760545	762545	14.108809
2	762545	764545	15.314002
2	764545	766545	14.941631
2	784545	786545	9.988773
2	786545	788545	5.769181
2	1128545	1130545	6.528597
2	1130545	1132545	22.769827
2	1158460	1160460	5.782379
2	1160460	1162460	9.762963
2	1160545	1162545	8.601847
2	1166545	1168545	6.540761
2	1168545	1170545	6.382111
2	1170545	1172545	6.392352
2	1244460	1246460	5.774368
2	5930776	5932776	5.768448
2	5932776	5934776	5.768415
2	9982776	9984776	5.935807
2	12306541	12308541	7.035387
2	13544541	13546541	6.101514
2	13546541	13548541	6.538936
2	13548541	13550541	6.858755
2	13550541	13552541	7.107052
2	14705637	14707637	6.188491
2	14707637	14709637	6.784484
2	14709637	14711637	8.372883
2	14767637	14769637	6.153462
2	14803637	14805637	5.926462
2	14805637	14807637	5.924794
2	15675620	15677620	7.159654
2	15677620	15679620	7.170982
2	16241637	16243637	6.333243
2	20463819	20465819	6.01871
2	21931357	21933357	19.02635
2	22017357	22019357	9.831264
2	22017819	22019819	8.122497
2	22019357	22021357	9.795913
2	22019819	22021819	7.267295
2	22021357	22023357	8.063114
2	22021819	22023819	8.923209
2	22677357	22679357	5.866863
2	23405819	23407819	5.970169
2	24730674	24732674	6.702669
2	24900674	24902674	6.827356
2	24902674	24904674	6.82982
2	24903819	24905819	6.302978
2	25524674	25526674	9.068802
2	39145229	39147229	7.075169
2	39147229	39149229	6.806064
2	43824048	43826048	7.061645
2	43824069	43826069	6.514962
2	43826048	43828048	6.643111
2	43826069	43828069	6.4808
2	44280048	44282048	6.280416
3	687146	689146	6.872464
3	755146	757146	7.84999
3	757146	759146	7.855168
3	1657146	1659146	5.819101
3	3803146	3805146	15.68893
3	3803993	3805993	6.416082
3	3805146	3807146	16.81169
3	4015993	4017993	6.389172
3	7342094	7344094	5.912171
3	8859189	8861189	8.576477
3	12584027	12586027	6.007615
3	15417824	15419824	6.64603
3	15419824	15421824	7.164461
3	15421824	15423824	6.709304
3	20172356	20174356	6.293027
3	20174356	20176356	6.290985
3	24442356	24444356	5.928106
3	29524547	29526547	6.426795
3	29672404	29674404	5.8348
3	30873834	30875834	6.764286
3	33125834	33127834	7.412414
3	33127834	33129834	6.67908
3	33129818	33131818	6.006746
3	33129834	33131834	7.463188
3	33437818	33439818	5.883801
3	33639818	33641818	6.307225
3	33641818	33643818	6.016128
3	33735818	33737818	5.863436
3	33737818	33739818	5.866991
3	34801834	34803834	6.02424
3	34803834	34805834	6.022631
3	39235964	39237964	9.565896
3	39236562	39238562	6.409493
3	39237964	39239964	9.549825
3	39323964	39325964	5.874255
3	39325964	39327964	5.876467
3	40433259	40435259	6.159
3	40435259	40437259	6.159635
3	40441259	40443259	6.158011
3	40443259	40445259	6.158915
3	41983259	41985259	5.974803
3	41985259	41987259	6.258306
3	42621259	42623259	6.383435
3	42623259	42625259	6.383868
4	539431	541431	6.878676
4	541431	543431	5.919719
4	786196	788196	6.82569
4	788196	790196	6.559737
4	790196	792196	7.328676
4	972196	974196	5.863345
4	1033431	1035431	6.882752
4	17687453	17689453	6.109122
4	19013452	19015452	13.71468
4	19015452	19017452	13.73287
4	19173453	19175453	6.409923
4	21148898	21150898	6.447086
4	21150898	21152898	5.884604
4	22348898	22350898	6.914947
4	23014898	23016898	5.810052
4	23090898	23092898	6.748726
4	23542959	23544959	7.377776
4	24530898	24532898	6.036592
4	25232959	25234959	11.28412
4	25563532	25565532	5.948729
4	25563652	25565652	14.96722
4	25673652	25675652	6.660622
4	27551532	27553532	6.159164
4	27553532	27555532	8.497139
4	27555532	27557532	8.236708
4	31798270	31800270	5.926883
4	31802270	31804270	8.586475
4	31928270	31930270	6.698289
4	31930270	31932270	13.61599
4	31932270	31934270	10.1012
4	31942270	31944270	6.588572
4	31954284	31956284	7.146309
4	32062270	32064270	10.80074
4	36201999	36203999	7.015942
4	37571303	37573303	6.411053
4	41011018	41013018	5.867928
4	41013018	41015018	5.866085
4	44956367	44958367	6.655788
4	45065074	45067074	5.772043
4	45067074	45069074	5.772181
4	51632111	51634111	6.050871
4	51722111	51724111	5.944038
5	1509138	1511138	10.79097
5	1511138	1513138	9.279216
5	1513138	1515138	11.73351
5	1515072	1517072	5.808216
5	1517072	1519072	5.815449
5	2025072	2027072	6.026776
5	2027072	2029072	6.024126
5	5121072	5123072	5.94329
5	5123072	5125072	5.943635
5	10083907	10085907	6.746601
5	10085907	10087907	6.690484
5	14035962	14037962	6.285341
5	14037962	14039962	5.817413
5	14039962	14041962	7.208412
5	14041962	14043962	7.211849
5	14462614	14464614	5.786547
5	14464614	14466614	5.786491
5	14472614	14474614	5.785925
5	14474614	14476614	5.786285
5	14619962	14621962	7.076173
5	14621962	14623962	7.082364
5	14653962	14655962	7.082007
5	15999131	16001131	8.740251
5	18179131	18181131	6.913729
5	18181131	18183131	6.916206
5	19018746	19020746	9.025749
5	19553131	19555131	5.882468
5	24002810	24004810	7.075248
5	24004810	24006810	7.066175
5	25600040	25602040	5.774686
5	25602040	25604040	5.774864
5	25768033	25770033	7.344006
5	25910033	25912033	5.965427
5	25912033	25914033	6.012209
5	25914040	25916040	9.933442
5	25916040	25918040	15.79947
5	25918040	25920040	12.42496
5	27294033	27296033	7.569523
5	27296033	27298033	7.570128
5	27346033	27348033	9.852271
5	27348033	27350033	8.572289
5	27354033	27356033	6.121391
5	27558040	27560040	5.894927
