c up dw
1 6750000 6760000
1 6760000 6770000
1 6770000 6780000
1 6780000 6790000
1 6790000 6800000
1 6840000 6850000
1 6850000 6860000
1 6860000 6870000
1 6870000 6880000
1 6910000 6920000
1 6920000 6930000
1 6920000 6930000
1 6920000 6930000
1 6930000 6940000
1 6930000 6940000
1 6930000 6940000
1 6940000 6950000
1 6940000 6950000
1 6940000 6950000
1 6950000 6960000
1 6950000 6960000
1 6950000 6960000
1 6960000 6970000
1 6960000 6970000
1 6960000 6970000
1 6970000 6980000
1 6970000 6980000
1 6970000 6980000
1 6980000 6990000
1 6980000 6990000
1 6980000 6990000
1 6990000 7000000
1 6990000 7000000
1 6990000 7000000
1 7000000 7010000
1 7010000 7020000
1 7020000 7030000
1 7030000 7040000
1 7040000 7050000
1 7070000 7080000
1 7080000 7090000
1 7140000 7150000
1 7160000 7170000
1 7160000 7170000
1 7160000 7170000
1 7170000 7180000
1 7170000 7180000
1 7170000 7180000
1 7180000 7190000
1 7190000 7200000
1 7190000 7200000
1 7190000 7200000
1 7200000 7210000
1 7200000 7210000
1 7200000 7210000
1 7210000 7220000
1 7390000 7400000
1 7400000 7410000
1 7410000 7420000
1 7710000 7720000
1 7720000 7730000
1 7730000 7740000
1 7740000 7750000
1 7750000 7760000
1 7760000 7770000
1 7770000 7780000
1 7780000 7790000
1 7790000 7800000
1 7800000 7810000
1 7930000 7940000
1 7940000 7950000
1 7950000 7960000
1 7960000 7970000
1 8160000 8170000
1 8170000 8180000
1 8180000 8190000
1 8190000 8200000
1 8200000 8210000
3 10730000 10740000
3 10820000 10830000
3 31150000 31160000
3 31160000 31170000
3 31170000 31180000
3 31180000 31190000
3 31340000 31350000
3 31370000 31380000
3 31380000 31390000
3 31390000 31400000
3 31400000 31410000
3 31410000 31420000
4 16490000 16500000
4 16500000 16510000
4 16510000 16520000
4 39590000 39600000
4 39600000 39610000
4 39610000 39620000
5 7340000 7350000
5 7350000 7360000
5 35850000 35860000
5 35860000 35870000
5 35870000 35880000
