region	chr	midPos	Nsites
(1,1)(31179783,31179783)(31179783,31179784)	3_Celeg_TT	31179783	2	0.088937
(2,2)(31179784,31179784)(31179784,31179785)	3_Celeg_TT	31179784	2	0.089575
(3,3)(31179785,31179785)(31179785,31179786)	3_Celeg_TT	31179785	2	0.087476
(4,4)(31179786,31179786)(31179786,31179787)	3_Celeg_TT	31179786	2	0.090350
(5,5)(31179787,31179787)(31179787,31179788)	3_Celeg_TT	31179787	2	0.089208
(6,6)(31179788,31179788)(31179788,31179789)	3_Celeg_TT	31179788	2	0.089206
(7,7)(31179789,31179789)(31179789,31179790)	3_Celeg_TT	31179789	2	0.090097
(8,8)(31179790,31179790)(31179790,31179791)	3_Celeg_TT	31179790	2	0.087358
(9,9)(31179791,31179791)(31179791,31179792)	3_Celeg_TT	31179791	2	0.088342
(10,10)(31179792,31179792)(31179792,31179793)	3_Celeg_TT	31179792	2	0.090396
(11,11)(31179793,31179793)(31179793,31179794)	3_Celeg_TT	31179793	2	0.090840
(12,12)(31179794,31179794)(31179794,31179795)	3_Celeg_TT	31179794	2	0.090663
(13,13)(31179795,31179795)(31179795,31179796)	3_Celeg_TT	31179795	2	0.090486
(14,14)(31179796,31179796)(31179796,31179797)	3_Celeg_TT	31179796	2	0.087233
(15,15)(31179797,31179797)(31179797,31179798)	3_Celeg_TT	31179797	2	0.084080
(16,16)(31179798,31179798)(31179798,31179799)	3_Celeg_TT	31179798	2	0.083696
(17,17)(31179799,31179799)(31179799,31179800)	3_Celeg_TT	31179799	2	0.083465
(18,18)(31179800,31179800)(31179800,31179801)	3_Celeg_TT	31179800	2	0.083408
(19,19)(31179801,31179801)(31179801,31179802)	3_Celeg_TT	31179801	2	0.084274
(20,20)(31179802,31179802)(31179802,31179803)	3_Celeg_TT	31179802	2	0.084855
(21,21)(31179803,31179803)(31179803,31179804)	3_Celeg_TT	31179803	2	0.090353
(22,22)(31179804,31179804)(31179804,31179805)	3_Celeg_TT	31179804	2	0.090806
(23,23)(31179805,31179805)(31179805,31179806)	3_Celeg_TT	31179805	2	0.084493
(24,24)(31179806,31179806)(31179806,31179807)	3_Celeg_TT	31179806	2	0.081903
(25,25)(31179807,31179807)(31179807,31179808)	3_Celeg_TT	31179807	2	0.090232
(26,26)(31179808,31179808)(31179808,31179809)	3_Celeg_TT	31179808	2	0.084241
(27,27)(31179809,31179809)(31179809,31179810)	3_Celeg_TT	31179809	2	0.087946
(28,28)(31179810,31179810)(31179810,31179811)	3_Celeg_TT	31179810	2	0.087688
(29,29)(31179811,31179811)(31179811,31179812)	3_Celeg_TT	31179811	2	0.084675
(30,30)(31179812,31179812)(31179812,31179813)	3_Celeg_TT	31179812	2	0.095581
(31,31)(31179813,31179813)(31179813,31179814)	3_Celeg_TT	31179813	2	0.093932
