c	up	dw	sco
1	113453	115453	6.164667
1	131223	133223	5.313831
1	141223	143223	5.097846
1	143223	145223	5.299975
1	173223	175223	8.387441
1	189223	191223	6.144937
1	191223	193223	5.194565
1	241223	243223	6.059664
1	243223	245223	5.950776
1	915453	917453	5.714949
1	1257223	1259223	5.150702
1	1259223	1261223	5.150702
1	1399453	1401453	5.100821
1	1401453	1403453	5.10075
1	1977453	1979453	5.144105
1	2761223	2763223	8.380882
1	2763223	2765223	8.376067
1	3613223	3615223	7.640005
1	3625223	3627223	6.174858
1	4497223	4499223	6.059628
1	4499223	4501223	6.059662
1	7659240	7661240	6.558649
1	8309240	8311240	5.596956
1	8563240	8565240	5.54814
1	8817748	8819748	5.041
1	9481748	9483748	5.876609
1	15163858	15165858	5.978059
1	19683858	19685858	5.036404
1	19745839	19747839	6.812268
1	19755839	19757839	6.810313
1	19757839	19759839	5.827071
1	19759839	19761839	5.827437
1	22294572	22296572	22.6579442119269
1	22528572	22530572	7.26349925917478
1	23824572	23826572	5.96610037362044
1	25710700	25712700	5.079962
1	27624700	27626700	5.04037
1	27628700	27630700	5.724298
1	30380676	30382676	5.068207
1	31975184	31977184	5.499174
1	33382676	33384676	5.350243
1	34926739	34928739	5.924941
1	35379393	35381393	5.041454
1	35381393	35383393	5.041363
1	35437393	35439393	5.351264
1	37767393	37769393	5.080959
1	38222739	38224739	6.669462
1	38224739	38226739	6.219943
1	38226739	38228739	6.517033
1	39522109	39524109	7.004388
1	39524109	39526109	6.42466
2	690460	692460	5.074353
2	1602460	1604460	7.476989
2	6278770	6280770	5.672033
2	6280770	6282770	5.673738
2	7118781	7120781	5.76938
2	7120781	7122781	5.769415
2	9664009	9666009	7.129062
2	9666009	9668009	7.129042
2	11510445	11512445	5.968299
2	11876009	11878009	5.359362
2	11878009	11880009	5.359362
2	12578009	12580009	5.244555
2	12580009	12582009	5.244555
2	14584009	14586009	5.731602
2	14586009	14588009	5.757913
2	14588009	14590009	6.281981
2	14590009	14592009	6.568665
2	14710069	14712069	5.804863
2	16146069	16148069	5.293775
2	16148069	16150069	5.287126
2	16214069	16216069	5.128277
2	17205728	17207728	6.198949
2	17207728	17209728	6.199236
2	18124069	18126069	5.244177
2	18126069	18128069	5.244202
2	18219728	18221728	5.317068
2	18838069	18840069	5.436069
2	18840069	18842069	5.435025
2	19426069	19428069	5.101639
2	20391947	20393947	5.518779
2	20393947	20395947	5.518863
2	21305947	21307947	5.158506
2	21307947	21309947	5.048487
2	21958971	21960971	5.078967
2	21960971	21962971	5.078949
2	22312971	22314971	5.330735
2	22673947	22675947	5.089011
2	23723947	23725947	5.400928
2	23799947	23801947	5.591221
2	23801947	23803947	5.591235
2	24401947	24403947	5.997373
2	24405947	24407947	5.485568
2	24407947	24409947	5.485612
2	25218361	25220361	6.496618
2	25314373	25316373	5.137943
2	25316373	25318373	5.137922
2	28872361	28874361	5.429763
2	28874361	28876361	5.141763
2	29216373	29218373	5.078423
2	29218373	29220373	5.07841
2	29894361	29896361	5.272596
2	31956767	31958767	5.609385
2	31958767	31960767	5.605844
2	32992767	32994767	5.838133
2	32994767	32996767	5.838521
2	34771550	34773550	5.258643
2	43848413	43850413	5.70533
2	43874413	43876413	5.067943
3	1762004	1764004	5.06630836433019
3	4662004	4664004	7.04639563257202
3	4664004	4666004	7.04535400035602
3	5581378	5583378	5.072295
3	5583378	5585378	5.072295
3	7355524	7357524	6.464739
3	7357524	7359524	6.464885
3	7361378	7363378	5.299591
3	7387378	7389378	6.488142
3	12956720	12958720	5.47999835823625
3	12958720	12960720	6.32899460034925
3	12960720	12962720	8.83706699787888
3	13052720	13054720	8.62632796388185
3	13054720	13056720	5.66355337913734
3	18059820	18061820	5.364256
3	19341893	19343893	6.790343
3	19343893	19345893	5.1731
3	24037916	24039916	6.752819
3	24923732	24925732	6.48915
3	26960976	26962976	5.964237
3	26962976	26964976	5.965505
3	26996976	26998976	7.093065
3	26998976	27000976	7.093084
3	33631786	33633786	5.11956
3	33887834	33889834	5.9668
3	35551364	35553364	5.644655
3	38957364	38959364	5.100116
3	38959364	38961364	5.100116
3	41262546	41264546	5.376825
3	42306546	42308546	5.563987
4	790233	792233	5.113084
4	3482233	3484233	5.704549
4	6356647	6358647	5.07218
4	6357742	6359742	5.297826
4	6358647	6360647	5.071974
4	6374647	6376647	5.072095
4	6376647	6378647	5.072199
4	12617587	12619587	7.401498
4	12619587	12621587	7.402143
4	17767452	17769452	5.79316
4	17851452	17853452	5.087523
4	17993581	17995581	14.17964
4	18475581	18477581	5.079299
4	18573452	18575452	5.090046
4	20018346	20020346	5.394447
4	20020346	20022346	5.394446
4	20024346	20026346	5.394443
4	20026346	20028346	5.394445
4	22280346	22282346	5.273767
4	27087422	27089422	7.759686
4	27835422	27837422	8.763813
4	27901422	27903422	5.098736
4	28237422	28239422	5.759133
4	29953986	29955986	5.572256
4	32415986	32417986	6.342146
4	32879986	32881986	7.102205
4	33669986	33671986	5.215747
4	34219986	34221986	5.595519
4	35231862	35233862	5.315329
4	35233862	35235862	5.315324
4	35235463	35237463	5.508122
4	35235862	35237862	9.67886
4	35265862	35267862	5.098327
4	36463862	36465862	5.574153
4	36465862	36467862	6.150017
4	36475463	36477463	6.545059
4	36477463	36479463	6.437345
4	36933862	36935862	7.006322
4	36935862	36937862	5.401479
4	37547862	37549862	5.612292
4	37553862	37555862	6.137622
4	38959463	38961463	6.667514
4	39921463	39923463	5.156612
4	39923463	39925463	5.154676
4	40181409	40183409	5.67827171729374
4	40267862	40269862	6.196814
4	47627565	47629565	5.159361
4	48812403	48814403	5.234952
4	49890403	49892403	7.17136
4	49892403	49894403	11.20205
4	49893565	49895565	11.7727
4	49959565	49961565	5.343003
4	50000944	50002944	6.48542868295555
