region	chr	midPos	Nsites
(1,1)(31183344,31183344)(31183344,31183345)	3_Celeg_TT	31183344	2	0.069218
(2,2)(31183345,31183345)(31183345,31183346)	3_Celeg_TT	31183345	2	0.066441
(3,3)(31183346,31183346)(31183346,31183347)	3_Celeg_TT	31183346	2	0.066984
(4,4)(31183347,31183347)(31183347,31183348)	3_Celeg_TT	31183347	2	0.076719
(5,5)(31183348,31183348)(31183348,31183349)	3_Celeg_TT	31183348	2	0.076774
(6,6)(31183349,31183349)(31183349,31183350)	3_Celeg_TT	31183349	2	0.076772
(7,7)(31183350,31183350)(31183350,31183351)	3_Celeg_TT	31183350	2	0.081562
(8,8)(31183352,31183352)(31183352,31183353)	3_Celeg_TT	31183352	2	0.066563
(9,9)(31183353,31183353)(31183353,31183354)	3_Celeg_TT	31183353	2	0.070662
(10,10)(31183354,31183354)(31183354,31183355)	3_Celeg_TT	31183354	2	0.073485
(11,11)(31183355,31183355)(31183355,31183356)	3_Celeg_TT	31183355	2	0.070968
(12,12)(31183356,31183356)(31183356,31183357)	3_Celeg_TT	31183356	2	0.066797
(13,13)(31183357,31183357)(31183357,31183358)	3_Celeg_TT	31183357	2	0.073433
(14,14)(31183358,31183358)(31183358,31183359)	3_Celeg_TT	31183358	2	0.067319
(15,15)(31183359,31183359)(31183359,31183360)	3_Celeg_TT	31183359	2	0.053650
(16,16)(31183360,31183360)(31183360,31183361)	3_Celeg_TT	31183360	2	0.052436
(17,17)(31183361,31183361)(31183361,31183362)	3_Celeg_TT	31183361	2	0.054590
(18,18)(31183362,31183362)(31183362,31183363)	3_Celeg_TT	31183362	2	0.051925
(19,19)(31183363,31183363)(31183363,31183364)	3_Celeg_TT	31183363	2	0.051744
(20,20)(31183364,31183364)(31183364,31183365)	3_Celeg_TT	31183364	2	0.059261
(21,21)(31183365,31183365)(31183365,31183366)	3_Celeg_TT	31183365	2	0.065304
(22,22)(31183366,31183366)(31183366,31183367)	3_Celeg_TT	31183366	2	0.054590
(23,23)(31183367,31183367)(31183367,31183368)	3_Celeg_TT	31183367	2	0.057627
(24,24)(31183368,31183368)(31183368,31183369)	3_Celeg_TT	31183368	2	0.045534
(25,25)(31183369,31183369)(31183369,31183370)	3_Celeg_TT	31183369	2	0.051817
(26,26)(31183370,31183370)(31183370,31183371)	3_Celeg_TT	31183370	2	0.045101
(27,27)(31183371,31183371)(31183371,31183372)	3_Celeg_TT	31183371	2	0.044357
(28,28)(31183372,31183372)(31183372,31183373)	3_Celeg_TT	31183372	2	0.048405
(29,29)(31183373,31183373)(31183373,31183374)	3_Celeg_TT	31183373	2	0.047071
(30,30)(31183374,31183374)(31183374,31183375)	3_Celeg_TT	31183374	2	0.047086
(31,31)(31183375,31183375)(31183375,31183376)	3_Celeg_TT	31183375	2	0.060784
(32,32)(31183376,31183376)(31183376,31183377)	3_Celeg_TT	31183376	2	0.047081
(33,33)(31183377,31183377)(31183377,31183378)	3_Celeg_TT	31183377	2	0.050512
(34,34)(31183378,31183378)(31183378,31183379)	3_Celeg_TT	31183378	2	0.047249
(35,35)(31183379,31183379)(31183379,31183380)	3_Celeg_TT	31183379	2	0.043544
(36,36)(31183380,31183380)(31183380,31183381)	3_Celeg_TT	31183380	2	0.043616
(37,37)(31183381,31183381)(31183381,31183382)	3_Celeg_TT	31183381	2	0.043615
(38,38)(31183382,31183382)(31183382,31183383)	3_Celeg_TT	31183382	2	0.040807
(39,39)(31183383,31183383)(31183383,31183384)	3_Celeg_TT	31183383	2	0.044063
(40,40)(31183384,31183384)(31183384,31183385)	3_Celeg_TT	31183384	2	0.038378
(41,41)(31183385,31183385)(31183385,31183386)	3_Celeg_TT	31183385	2	0.044564
(42,42)(31183386,31183386)(31183386,31183387)	3_Celeg_TT	31183386	2	0.049771
(43,43)(31183389,31183389)(31183389,31183390)	3_Celeg_TT	31183389	2	0.050299
(44,44)(31183390,31183390)(31183390,31183391)	3_Celeg_TT	31183390	2	0.047403
(45,45)(31183391,31183391)(31183391,31183392)	3_Celeg_TT	31183391	2	0.043828
(46,46)(31183392,31183392)(31183392,31183393)	3_Celeg_TT	31183392	2	0.049836
(47,47)(31183393,31183393)(31183393,31183394)	3_Celeg_TT	31183393	2	0.057302
(48,48)(31183394,31183394)(31183394,31183395)	3_Celeg_TT	31183394	2	0.054138
(49,49)(31183395,31183395)(31183395,31183396)	3_Celeg_TT	31183395	2	0.050656
(50,50)(31183396,31183396)(31183396,31183397)	3_Celeg_TT	31183396	2	0.041911
(51,51)(31183397,31183397)(31183397,31183398)	3_Celeg_TT	31183397	2	0.043887
(52,52)(31183398,31183398)(31183398,31183399)	3_Celeg_TT	31183398	2	0.044070
(53,53)(31183399,31183399)(31183399,31183400)	3_Celeg_TT	31183399	2	0.049654
(54,54)(31183400,31183400)(31183400,31183401)	3_Celeg_TT	31183400	2	0.052607
(55,55)(31183401,31183401)(31183401,31183402)	3_Celeg_TT	31183401	2	0.040815
(56,56)(31183402,31183402)(31183402,31183403)	3_Celeg_TT	31183402	2	0.038261
(57,57)(31183403,31183403)(31183403,31183404)	3_Celeg_TT	31183403	2	0.040312
(58,58)(31183404,31183404)(31183404,31183405)	3_Celeg_TT	31183404	2	0.043588
(59,59)(31183405,31183405)(31183405,31183406)	3_Celeg_TT	31183405	2	0.094495
(60,60)(31183406,31183406)(31183406,31183407)	3_Celeg_TT	31183406	2	0.035527
(61,61)(31183407,31183407)(31183407,31183408)	3_Celeg_TT	31183407	2	0.038982
(62,62)(31183408,31183408)(31183408,31183409)	3_Celeg_TT	31183408	2	0.030683
(63,63)(31183409,31183409)(31183409,31183410)	3_Celeg_TT	31183409	2	0.039426
(64,64)(31183410,31183410)(31183410,31183411)	3_Celeg_TT	31183410	2	0.032189
(65,65)(31183411,31183411)(31183411,31183412)	3_Celeg_TT	31183411	2	0.032222
(66,66)(31183412,31183412)(31183412,31183413)	3_Celeg_TT	31183412	2	0.035732
(67,67)(31183413,31183413)(31183413,31183414)	3_Celeg_TT	31183413	2	0.031450
(68,68)(31183414,31183414)(31183414,31183415)	3_Celeg_TT	31183414	2	0.031778
(69,69)(31183415,31183415)(31183415,31183416)	3_Celeg_TT	31183415	2	0.029101
(70,70)(31183416,31183416)(31183416,31183417)	3_Celeg_TT	31183416	2	0.027347
(71,71)(31183417,31183417)(31183417,31183418)	3_Celeg_TT	31183417	2	0.028121
(72,72)(31183418,31183418)(31183418,31183419)	3_Celeg_TT	31183418	2	0.027459
(73,73)(31183419,31183419)(31183419,31183420)	3_Celeg_TT	31183419	2	0.027229
(74,74)(31183420,31183420)(31183420,31183421)	3_Celeg_TT	31183420	2	0.034589
(75,75)(31183421,31183421)(31183421,31183422)	3_Celeg_TT	31183421	2	0.026960
(76,76)(31183422,31183422)(31183422,31183423)	3_Celeg_TT	31183422	2	0.035323
(77,77)(31183423,31183423)(31183423,31183424)	3_Celeg_TT	31183423	2	0.034238
(78,78)(31183424,31183424)(31183424,31183425)	3_Celeg_TT	31183424	2	0.030024
(79,79)(31183425,31183425)(31183425,31183426)	3_Celeg_TT	31183425	2	0.026666
(80,80)(31183426,31183426)(31183426,31183427)	3_Celeg_TT	31183426	2	0.033889
(81,81)(31183427,31183427)(31183427,31183428)	3_Celeg_TT	31183427	2	0.014962
(82,82)(31183428,31183428)(31183428,31183429)	3_Celeg_TT	31183428	2	0.027708
(83,83)(31183429,31183429)(31183429,31183430)	3_Celeg_TT	31183429	2	0.366045
(84,84)(31183430,31183430)(31183430,31183431)	3_Celeg_TT	31183430	2	0.029582
(85,85)(31183431,31183431)(31183431,31183432)	3_Celeg_TT	31183431	2	0.027822
(86,86)(31183432,31183432)(31183432,31183433)	3_Celeg_TT	31183432	2	0.015247
(87,87)(31183433,31183433)(31183433,31183434)	3_Celeg_TT	31183433	2	0.031044
(88,88)(31183434,31183434)(31183434,31183435)	3_Celeg_TT	31183434	2	0.028968
(89,89)(31183435,31183435)(31183435,31183436)	3_Celeg_TT	31183435	2	0.032108
(90,90)(31183436,31183436)(31183436,31183437)	3_Celeg_TT	31183436	2	0.028729
(91,91)(31183437,31183437)(31183437,31183438)	3_Celeg_TT	31183437	2	0.028728
(92,92)(31183438,31183438)(31183438,31183439)	3_Celeg_TT	31183438	2	0.032629
(93,93)(31183439,31183439)(31183439,31183440)	3_Celeg_TT	31183439	2	0.032527
(94,94)(31183440,31183440)(31183440,31183441)	3_Celeg_TT	31183440	2	0.032574
(95,95)(31183441,31183441)(31183441,31183442)	3_Celeg_TT	31183441	2	0.037498
(96,96)(31183442,31183442)(31183442,31183443)	3_Celeg_TT	31183442	2	0.033245
(97,97)(31183443,31183443)(31183443,31183444)	3_Celeg_TT	31183443	2	0.032774
(98,98)(31183444,31183444)(31183444,31183445)	3_Celeg_TT	31183444	2	0.035841
(99,99)(31183445,31183445)(31183445,31183446)	3_Celeg_TT	31183445	2	0.031053
(100,100)(31183446,31183446)(31183446,31183447)	3_Celeg_TT	31183446	2	0.030424
(101,101)(31183447,31183447)(31183447,31183448)	3_Celeg_TT	31183447	2	0.034281
(102,102)(31183448,31183448)(31183448,31183449)	3_Celeg_TT	31183448	2	0.029741
(103,103)(31183449,31183449)(31183449,31183450)	3_Celeg_TT	31183449	2	0.030010
(104,104)(31183450,31183450)(31183450,31183451)	3_Celeg_TT	31183450	2	0.035408
(105,105)(31183451,31183451)(31183451,31183452)	3_Celeg_TT	31183451	2	0.028699
(106,106)(31183452,31183452)(31183452,31183453)	3_Celeg_TT	31183452	2	0.030236
(107,107)(31183453,31183453)(31183453,31183454)	3_Celeg_TT	31183453	2	0.035443
(108,108)(31183454,31183454)(31183454,31183455)	3_Celeg_TT	31183454	2	0.035524
(109,109)(31183455,31183455)(31183455,31183456)	3_Celeg_TT	31183455	2	0.040013
(110,110)(31183456,31183456)(31183456,31183457)	3_Celeg_TT	31183456	2	0.034623
(111,111)(31183457,31183457)(31183457,31183458)	3_Celeg_TT	31183457	2	0.040650
(112,112)(31183458,31183458)(31183458,31183459)	3_Celeg_TT	31183458	2	0.029618
(113,113)(31183459,31183459)(31183459,31183460)	3_Celeg_TT	31183459	2	0.035898
(114,114)(31183460,31183460)(31183460,31183461)	3_Celeg_TT	31183460	2	0.039599
(115,115)(31183461,31183461)(31183461,31183462)	3_Celeg_TT	31183461	2	0.039367
(116,116)(31183462,31183462)(31183462,31183463)	3_Celeg_TT	31183462	2	0.040537
(117,117)(31183463,31183463)(31183463,31183464)	3_Celeg_TT	31183463	2	0.030461
(118,118)(31183464,31183464)(31183464,31183465)	3_Celeg_TT	31183464	2	0.031339
(119,119)(31183465,31183465)(31183465,31183466)	3_Celeg_TT	31183465	2	0.033723
(120,120)(31183466,31183466)(31183466,31183467)	3_Celeg_TT	31183466	2	0.032748
(121,121)(31183467,31183467)(31183467,31183468)	3_Celeg_TT	31183467	2	0.032179
