c	up	dw	sco
1	5223	7223	5.732382
1	7223	9223	5.475904
1	143223	145223	5.268442
1	369223	371223	5.400288
1	371223	373223	5.495844
1	456283	458283	5.665274
1	484283	486283	5.664739
1	1002283	1004283	5.86332
1	1004283	1006283	5.852316
1	1456283	1458283	5.660039
1	1702283	1704283	6.10924
1	1729223	1731223	5.817656
1	2708283	2710283	5.918238
1	2758283	2760283	5.65893
1	2759223	2761223	5.713109
1	5537240	5539240	5.67178480917713
1	10458087	10460087	5.335162
1	15163858	15165858	5.773714
1	15987858	15989858	6.670215
1	15989858	15991858	7.510812
1	15991858	15993858	6.144156
1	18637839	18639839	5.377251
1	18637858	18639858	6.112623
1	19221858	19223858	7.082795
1	20212572	20214572	5.62779288086036
1	23834572	23836572	5.51123188910946
1	24990661	24992661	7.610734
1	24990772	24992772	5.719702
1	24992661	24994661	8.128744
1	24992772	24994772	5.876208
1	24994661	24996661	8.949575
1	24994772	24996772	8.260036
1	26332661	26334661	5.548766
1	27306661	27308661	6.026875
1	28708661	28710661	5.351621
1	28710661	28712661	6.065366
1	28712661	28714661	7.075869
1	28714661	28716661	6.953453
1	28770661	28772661	13.238973
1	28772661	28774661	9.273686
1	28774661	28776661	5.715137
1	31678676	31680676	7.91835780531548
1	31680676	31682676	8.30288671556541
1	31716676	31718676	8.09725157831498
1	32546676	32548676	6.57986901524643
1	32548676	32550676	6.5798739649939
1	37767413	37769413	5.69050517967474
2	2310700	2312700	6.773892
2	2312700	2314700	5.725078
2	2314700	2316700	6.562572
2	4232700	4234700	6.15394
2	4234700	4236700	6.153946
2	6280749	6282749	5.28019
2	6282749	6284749	5.281364
2	6574749	6576749	5.640665
2	11270445	11272445	5.403026
2	12746541	12748541	5.584162
2	12748541	12750541	5.584557
2	13544541	13546541	5.526499
2	13546541	13548541	5.371025
2	13548541	13550541	8.113722
2	13550541	13552541	8.113303
2	17056863	17058863	5.63001
2	17148863	17150863	5.700088
2	17150863	17152863	5.700083
2	18056863	18058863	5.361062
2	18224858	18226858	6.479277
2	20393233	20395233	7.914737
2	21297233	21299233	5.42726
2	21299233	21301233	5.427265
2	22312971	22314971	6.36582
2	22354971	22356971	6.365843
2	24969233	24971233	6.350138
2	33048633	33050633	6.043403
2	33050633	33052633	6.043385
2	34274633	34276633	5.674264
2	34398633	34400633	5.590522
2	34400633	34402633	5.590522
2	35077385	35079385	5.360481
2	35079385	35081385	5.360483
2	36791385	36793385	5.678286
2	36793385	36795385	5.67774
2	43256922	43258922	5.637036
2	43258922	43260922	5.625659
2	43772440	43774440	6.715122
3	684004	686004	5.352402
3	3329155	3331155	5.478789
3	3331155	3333155	5.478804
3	4955189	4957189	5.998883
3	5627189	5629189	5.595447
3	6409189	6411189	5.396598
3	6743843	6745843	7.277527
3	11434686	11436686	7.048744
3	11484686	11486686	8.270078
3	13150686	13152686	5.358735
3	16033820	16035820	8.166389
3	23472355	23474355	5.96357913957218
3	23530355	23532355	6.86301393108451
3	30936142	30938142	5.43353987263667
3	33644142	33646142	6.13230012124015
3	37158562	37160562	6.669894
3	39239562	39241562	8.498922
3	39240562	39242562	6.002953
3	40670920	40672920	5.423761
3	42336920	42338920	5.276546
3	42338920	42340920	5.27699
4	1416303	1418303	6.69255957076065
4	1492303	1494303	5.7350418747153
4	1554303	1556303	6.48250798339489
4	2152303	2154303	5.70781048546503
4	6678647	6680647	10.61519
4	6679180	6681180	13.70601
4	6810647	6812647	6.467775
4	7209180	7211180	7.847281
4	18509449	18511449	5.771735
4	18511449	18513449	5.338756
4	18645449	18647449	6.197995
4	18647449	18649449	6.665018
4	18743449	18745449	5.833877
4	19415449	19417449	5.303453
4	22280312	22282312	5.900159
4	23016312	23018312	5.357491
4	23072312	23074312	5.676776
4	23088312	23090312	7.001597
4	23098312	23100312	5.658485
4	23744312	23746312	6.472403
4	23746312	23748312	6.471319
4	24170312	24172312	6.381408
4	24546754	24548754	5.267976
4	24960312	24962312	5.658548
4	24962312	24964312	5.658542
4	27144645	27146645	5.529892
4	27146645	27148645	5.765057
4	30616284	30618284	5.579742
4	31564383	31566383	5.809967
4	31666284	31668284	7.711512
4	31920284	31922284	5.209744
4	32324284	32326284	6.48593
4	32326284	32328284	7.323408
4	32328284	32330284	10.55808
4	32874284	32876284	5.666207
4	33664383	33666383	9.123702
4	34286284	34288284	8.441122
4	35228994	35230994	5.843302
4	35388284	35390284	5.746904
