c	up	dw	sco
1	3033074	3035074	5.85028556497941
1	3613074	3615074	6.04491639412081
1	5442778	5444778	8.788131
1	5444778	5446778	8.782191
1	5560778	5562778	5.370667
1	7794778	7796778	6.740062
1	7796778	7798778	6.740276
1	7936778	7938778	5.664477
1	9371657	9373657	8.654806
1	9507657	9509657	8.356436
1	9509657	9511657	7.802812
1	9511657	9513657	12.916655
1	9515657	9517657	17.815569
1	9569710	9571710	5.413155
1	9571710	9573710	5.676705
1	9655724	9657724	5.497133
1	9657724	9659724	7.051206
1	9793657	9795657	9.02995
1	9807657	9809657	9.87735
1	9808778	9810778	8.238563
1	9809657	9811657	8.382764
1	9810778	9812778	8.233184
1	9811657	9813657	10.992335
1	9812778	9814778	5.555631
1	12717710	12719710	7.757881
1	31976651	31978651	5.958594
1	32194651	32196651	5.207993
1	32196651	32198651	5.207993
1	34818651	34820651	5.648503
1	34858651	34860651	5.648503
1	34860651	34862651	5.648503
1	40385483	40387483	5.447605
1	40665483	40667483	5.282689
1	40693483	40695483	5.282689
1	42041483	42043483	6.118163
1	42043483	42045483	6.118163
1	42765471	42767471	5.218671
1	42767471	42769471	5.218671
1	45201313	45203313	5.246262
1	45640591	45642591	7.594167
2	1431396	1433396	7.94771
2	1587971	1589971	5.88138
2	1615396	1617396	5.874706
2	1615971	1617971	8.55362
2	2929971	2931971	5.264264
2	2931971	2933971	5.264264
2	2933971	2935971	5.264264
2	6288383	6290383	5.725119
2	6296383	6298383	5.725119
2	9111311	9113311	5.556119
2	9113311	9115311	5.556119
2	14931726	14933726	5.662041
2	15639992	15641992	5.242801
2	15641726	15643726	9.829365
2	15643726	15645726	5.576573
2	17291992	17293992	5.670851
2	17293992	17295992	5.670852
2	19809726	19811726	6.424629
2	21873834	21875834	5.490486
2	22321732	22323732	7.734377
2	22381834	22383834	5.490486
2	24401834	24403834	6.658513
2	26706254	26708254	5.96085
2	26708254	26710254	5.96085
2	31345343	31347343	5.597076
2	31346149	31348149	6.184597
2	32047343	32049343	5.550658
2	32049343	32051343	6.110447
2	32051343	32053343	6.110447
2	32107343	32109343	6.110447
2	32109343	32111343	6.110447
2	32967343	32969343	5.550658
2	34939343	34941343	5.352958
2	35710851	35712851	6.325773
2	36216851	36218851	6.325773
2	36218851	36220851	6.325773
2	36220851	36222851	6.325773
2	41657865	41659865	5.968866
2	41659865	41661865	5.968866
2	44827932	44829932	6.141911
2	45463372	45465372	5.225649
2	45465372	45467372	7.098817
2	45467372	45469372	7.098818
2	45563372	45565372	5.286899
3	1438835	1440835	5.652597
3	2742835	2744835	6.069931
3	2744835	2746835	6.069931
3	2962140	2964140	5.749241
3	5485378	5487378	5.64598
3	5487378	5489378	5.64598
3	5543378	5545378	5.64598
3	5545378	5547378	5.64598
3	5567378	5569378	5.64598
3	7477189	7479189	5.429977
3	8533189	8535189	5.790274
3	8535189	8537189	5.790274
3	10116720	10118720	6.379458
3	10118720	10120720	6.379481
3	12238947	12240947	5.459471
3	15848833	15850833	6.340933
3	16195911	16197911	7.822037
3	19450833	19452833	5.606712
3	20909929	20911929	5.459712
3	21410182	21412182	5.229426
3	22125929	22127929	6.777935
3	22179929	22181929	6.777935
3	22181929	22183929	6.777935
3	22240182	22242182	5.353366
3	25009929	25011929	5.459712
3	25484472	25486472	6.238857
3	25714472	25716472	5.247904
3	25834593	25836593	7.114648
3	25836593	25838593	7.11465
3	29528472	29530472	5.508468
3	33784212	33786212	5.622244
4	1179238	1181238	5.841939
4	1181238	1183238	5.841885
4	2463244	2465244	5.590667
4	2465244	2467244	6.180388
4	2551238	2553238	5.217991
4	2553238	2555238	5.217988
4	2595238	2597238	5.217991
4	5928703	5930703	5.737554
4	5930703	5932703	7.92878
4	5932703	5934703	7.334957
4	12403504	12405504	6.481598
4	14872087	14874087	6.833003
4	15022087	15024087	6.360906
4	15024087	15026087	6.360905
4	16355452	16357452	6.01607
4	16357452	16359452	6.01607
4	17629452	17631452	7.203104
4	17642709	17644709	5.653961
4	18237452	18239452	5.585172
4	19089452	19091452	6.914299
4	21158995	21160995	5.860442
4	22382995	22384995	5.271513
4	22616995	22618995	7.498854
4	24926878	24928878	5.789584
4	28263422	28265422	5.586377
4	31723986	31725986	6.25230673524324
4	31729986	31731986	9.17498720985801
4	31789986	31791986	7.14347799136555
4	31791986	31793986	6.84863214402153
4	35070068	35072068	5.583841
4	35072068	35074068	5.583762
4	35074068	35076068	5.58381
4	36124068	36126068	5.298113
4	39214068	39216068	6.375407
4	40138722	40140722	10.9802
4	40139141	40141141	6.770947
4	40226722	40228722	5.707362
4	40300320	40302320	5.356758
4	41487141	41489141	7.174412
4	44764722	44766722	5.807405
4	44862722	44864722	5.77773
4	44957227	44959227	12.30615
4	44959227	44961227	7.581093
4	44995227	44997227	5.920761
4	45138722	45140722	5.409441
4	47175227	47177227	6.345571
4	47177227	47179227	6.345565
4	47764380	47766380	11.8369
4	47766380	47768380	11.8369
4	47961227	47963227	5.758518
4	48802380	48804380	7.150271
4	49234380	49236380	5.897127
4	49236380	49238380	6.50004
4	49250380	49252380	7.150274
4	50217577	50219577	7.322969
5	712699	714699	5.438026
5	768699	770699	13.59238
5	770699	772699	12.14341
5	882699	884699	6.327876
5	884699	886699	6.257762
5	1060699	1062699	6.90872
5	1156699	1158699	6.876896
5	1292699	1294699	5.917927
5	1294699	1296699	7.441395
5	1296699	1298699	7.442755
5	1334699	1336699	5.988116
5	1703295	1705295	5.515052
5	2374699	2376699	5.191028
5	2376699	2378699	5.191029
5	2491295	2493295	5.604836
5	2493295	2495295	6.161903
5	4054699	4056699	5.836196
5	4056699	4058699	5.836196
5	4462699	4464699	5.56779
5	5381864	5383864	5.529177
5	10976638	10978638	8.140794
5	10980638	10982638	5.504006
5	14498635	14500635	14.13613
5	14500635	14502635	14.05346
5	14924635	14926635	5.824947
5	15123946	15125946	5.27618
5	22116690	22118690	5.421942
5	22742690	22744690	6.138796
5	22742711	22744711	5.807994
5	22744690	22746690	6.138797
5	22746690	22748690	7.564374
5	25386711	25388711	5.55399
5	26424234	26426234	5.633606
5	27544234	27546234	9.63457
5	28122234	28124234	5.633606
5	28124234	28126234	5.633606
5	29154234	29156234	8.024089
5	29612214	29614214	5.886001
5	31255154	31257154	5.655597
5	31257154	31259154	5.655597
5	31737148	31739148	6.12939
5	31739148	31741148	6.12939
5	31793148	31795148	5.553824
5	31795148	31797148	5.55383
5	31797148	31799148	7.337912
5	33743148	33745148	5.645188
5	34179154	34181154	5.973826
5	40357435	40359435	8.70442083679609
5	40359435	40361435	7.42929517828239
5	41814263	41816263	5.53261
5	41816263	41818263	5.532668
5	42410327	42412327	5.225276
5	43106263	43108263	5.96904
5	43108263	43110263	5.969493
5	43150263	43152263	5.79449
5	43450263	43452263	5.543601
5	43576327	43578327	5.438976
5	43578327	43580327	5.438982
5	45740707	45742707	6.869543
5	46256707	46258707	5.741899
5	46258707	46260707	5.522792
5	47947512	47949512	5.388169
5	47949512	47951512	5.388169
