c	up	dw	sco
1	112644	114644	6.568443
1	140644	142644	7.914299
1	704174	706174	6.064468
1	1054644	1056644	5.931041
1	1488644	1490644	5.853368
1	1988174	1990174	5.632167
1	5573240	5575240	5.771044
1	5575240	5577240	5.684915
1	6407240	6409240	8.472098
1	6409240	6411240	8.472098
1	7659240	7661240	5.817019
1	8309240	8311240	5.804109
1	9596364	9598364	6.578571
1	9800364	9802364	6.681967
1	11538364	11540364	6.662225
1	11540364	11542364	7.003939
1	13948350	13950350	5.652428
1	13950350	13952350	5.652434
1	13974350	13976350	5.652441
1	14016350	14018350	7.224599
1	15073858	15075858	6.031261
1	24502774	24504774	6.459041
1	24504774	24506774	6.456381
1	27038700	27040700	6.072627
1	27040700	27042700	6.072418
1	27062700	27064700	6.072644
1	27488774	27490774	6.574292
1	27490774	27492774	6.572785
1	28290774	28292774	6.157968
1	28292774	28294774	6.225957
1	28492700	28494700	5.946134
1	28514700	28516700	5.946249
1	28516700	28518700	5.946287
1	31678676	31680676	11.064087
1	31680676	31682676	12.22547
1	34926739	34928739	6.010247
1	38468739	38470739	7.389967
1	39650739	39652739	5.870162
1	39652739	39654739	5.870216
1	45197473	45199473	6.573746
2	413910	415910	6.237102
2	415910	417910	6.099882
2	759910	761910	6.559535
2	760808	762808	5.762138
2	5934475	5936475	5.978354
2	6282749	6284749	5.862372
2	6374749	6376749	5.927704
2	6376749	6378749	5.923812
2	8642475	8644475	5.65451
2	11407401	11409401	6.558216
2	11409401	11411401	7.299552
2	13168615	13170615	5.818071
2	13170615	13172615	5.824479
2	14829401	14831401	6.173258
2	14831401	14833401	6.173793
2	18837637	18839637	6.351611
2	18839637	18841637	6.35422
2	19093637	19095637	5.645667
2	19095637	19097637	5.648267
2	22397233	22399233	5.72808889373589
2	24271233	24273233	6.76539969249415
2	24273233	24275233	6.3322515341834
2	25168692	25170692	8.783571
2	25206692	25208692	6.094277
2	25606692	25608692	6.805697
2	25608692	25610692	6.812359
2	28114692	28116692	8.459811
2	28116692	28118692	8.312047
2	28120692	28122692	6.190372
2	28122692	28124692	5.916553
2	28988692	28990692	5.951814
2	28990692	28992692	5.952446
2	29484692	29486692	6.657118
2	38959598	38961598	14.7869
2	38961333	38963333	6.248335
2	38961598	38963598	12.5541
2	39894898	39896898	7.285156
2	39896898	39898898	6.947868
2	42560898	42562898	8.485693
2	42560922	42562922	8.911719
2	42562898	42564898	7.719898
2	42562922	42564922	8.136383
2	42564898	42566898	8.256437
2	42564922	42566922	9.281311
2	42566898	42568898	9.750189
2	42566922	42568922	9.55889
2	43256922	43258922	5.85913
2	43258922	43260922	5.84526
2	43260922	43262922	5.86108
2	43262922	43264922	5.817412
2	43484898	43486898	6.581451
2	43486898	43488898	6.968702
2	43488898	43490898	5.958675
2	43992922	43994922	6.276328
2	43994922	43996922	6.260273
2	45801922	45803922	5.720935
2	45803922	45805922	6.824729
2	45805922	45807922	6.366346
3	526004	528004	6.501284
3	632004	634004	6.078479
3	846004	848004	6.253717
3	848004	850004	6.254681
3	7465944	7467944	6.430547
3	7467944	7469944	6.037593
3	7833524	7835524	5.899488
3	7835524	7837524	5.899397
3	11390650	11392650	6.74133739509372
3	11392650	11394650	6.7450593484111
3	11394650	11396650	7.0105152114626
3	15098650	15100650	7.13551481335443
3	15102650	15104650	6.3775941688021
3	15104650	15106650	5.98807440299171
3	23588006	23590006	5.869504
3	23590006	23592006	5.868869
3	24429877	24431877	8.01528
3	24430006	24432006	8.286418
3	26339817	26341817	5.643516
3	26343817	26345817	5.65881
3	26345817	26347817	5.658381
3	33753834	33755834	7.755244
3	40628546	40630546	5.815624
3	42482546	42484546	5.984088
3	42484546	42486546	6.729893
3	42486546	42488546	6.477343
4	786258	788258	6.136224
4	1156258	1158258	5.769316
4	1244258	1246258	6.229061
4	1642258	1644258	5.805358
4	1648258	1650258	6.037967
4	1998258	2000258	6.490661
4	2000258	2002258	6.494614
4	6039407	6041407	5.643921
4	6847678	6849678	9.411748
4	6849678	6851678	9.981852
4	10379407	10381407	8.436723
4	17289581	17291581	5.741373
4	17687453	17689453	6.896279
4	17689453	17691453	15.02658
4	17689581	17691581	8.805122
4	17691453	17693453	14.68722
4	17953453	17955453	6.267449
4	18611453	18613453	5.709765
4	18613453	18615453	5.708198
4	20262959	20264959	5.951646
4	22278959	22280959	5.761552
4	22280959	22282959	8.049622
4	22282959	22284959	12.15666
4	22334959	22336959	11.95518
4	23098959	23100959	5.705547
4	23100959	23102959	5.704325
4	23794959	23796959	6.512212
4	24338461	24340461	14.83439
4	24338959	24340959	10.1677
4	24340461	24342461	12.90287
4	24340959	24342959	11.75172
4	24968959	24970959	5.763516
4	24970959	24972959	5.80989
4	25230959	25232959	6.286018
4	25232959	25234959	8.113181
4	29273532	29275532	5.89110354318802
4	29953973	29955973	6.349949
4	30028012	30030012	6.216781
4	30811973	30813973	7.424114
4	31733973	31735973	8.027832
4	31735973	31737973	9.162512
4	31745973	31747973	6.882134
4	31779973	31781973	6.512562
4	31829973	31831973	6.621879
4	31927973	31929973	5.70328
4	31929973	31931973	6.23048
4	32635973	32637973	5.997743
4	32637973	32639973	7.047777
4	32814012	32816012	5.689554
4	34269973	34271973	6.088841
4	34971973	34973973	7.117938
4	40141018	40143018	7.336671
4	40143018	40145018	7.753553
4	46272265	46274265	5.858689
4	46276265	46278265	11.25081
4	46276583	46278583	10.13954
4	46322583	46324583	11.812
4	47974583	47976583	5.813075
