c	up	dw	sco
1	97223	99223	5.524278
1	105223	107223	5.69633
1	131223	133223	5.645222
1	133223	135223	5.630732
1	177223	179223	5.88526
1	193223	195223	5.748301
1	195223	197223	6.398312
1	243223	245223	6.025016
1	878174	880174	5.82534
1	1430174	1432174	5.450907
1	1490174	1492174	6.423959
1	1492174	1494174	6.607838
1	1494174	1496174	6.606759
1	1521223	1523223	6.583986
1	1523223	1525223	6.584046
1	1657223	1659223	5.737174
1	1659223	1661223	5.73715
1	1661223	1663223	5.737166
1	2717223	2719223	5.737172
1	2719223	2721223	6.28931
1	2721223	2723223	6.289274
1	4619748	4621748	5.811706
1	4961212	4963212	6.401051
1	4963212	4965212	6.401056
1	7785748	7787748	8.168573
1	7787748	7789748	8.167932
1	8001212	8003212	5.624611
1	9522077	9524077	6.722295
1	9524077	9526077	6.722232
1	9596077	9598077	6.845038
1	9803748	9805748	5.465818
1	10172077	10174077	8.633207
1	10174077	10176077	8.634617
1	11496077	11498077	5.454529
1	11498077	11500077	9.509217
1	14050350	14052350	7.013382
1	14100350	14102350	5.45136
1	15997871	15999871	6.479597
1	18627850	18629850	6.695898
1	18627871	18629871	10.510622
1	18629850	18631850	6.616811
1	18629871	18631871	11.94163
1	18631871	18633871	6.61808
1	23804572	23806572	6.79401716687153
1	23830572	23832572	13.9086430356485
1	26812650	26814650	6.47475562580709
1	27164650	27166650	6.26738341458459
1	31974540	31976540	5.87774
1	31976540	31978540	5.87774
1	31994540	31996540	7.490593
1	32002540	32004540	7.490593
1	32004540	32006540	7.490593
1	37552794	37554794	5.678517
1	39004794	39006794	5.372594
2	1202249	1204249	7.164293
2	5930781	5932781	5.690634
2	5932781	5934781	5.690633
2	9242781	9244781	7.335214
2	9244781	9246781	7.345364
2	9392781	9394781	6.044392
2	10611401	10613401	6.785127
2	10623401	10625401	6.611215
2	10625401	10627401	6.611305
2	11105401	11107401	5.65278
2	11107401	11109401	5.652863
2	11293401	11295401	6.232575
2	11411401	11413401	16.898687
2	11411703	11413703	7.643345
2	11413401	11415401	15.646936
2	11413703	11415703	7.83725
2	13549703	13551703	6.421887
2	14817726	14819726	11.01549
2	14959703	14961703	9.039615
2	14961703	14963703	9.029855
2	16989726	16991726	6.466729
2	16991726	16993726	5.42501
2	21329229	21331229	5.477833
2	21331229	21333229	5.477821
2	22309229	22311229	6.284778
2	22443227	22445227	5.594743
2	22443229	22445229	7.302484
2	24895227	24897227	5.415024
2	24899227	24901227	5.673166
2	24901227	24903227	5.361415
2	24903227	24905227	9.250139
2	25355985	25357985	6.802275
2	25429985	25431985	11.59093
2	25936259	25938259	7.908628
2	26773985	26775985	6.327262
2	28385985	28387985	5.391177
2	28967985	28969985	5.688806
2	30306846	30308846	5.509936
2	30308846	30310846	5.509932
2	30342846	30344846	5.50996
2	32832646	32834646	5.636625
2	39313254	39315254	7.220062
2	39315254	39317254	7.220065
2	42566048	42568048	5.63561483972148
2	45235929	45237929	5.965131
3	3806134	3808134	5.6972647910514
3	3808134	3810134	9.91854975753585
3	8873944	8875944	5.796589
3	9895944	9897944	5.858632
3	9929944	9931944	6.460503
3	9931944	9933944	6.460515
3	10103378	10105378	5.466034
3	13644720	13646720	6.76736273441235
3	13646720	13648720	6.76585042120745
3	16815820	16817820	11.10043
3	16815843	16817843	5.785884
3	16819843	16821843	5.555118
3	16821820	16823820	5.573421
3	16821843	16823843	5.549948
3	20172140	20174140	7.271889
3	20174140	20176140	7.272293
3	20178140	20180140	7.262388
3	20180140	20182140	7.266982
3	20746129	20748129	9.32948
3	20746140	20748140	14.42407
3	20748129	20750129	10.46538
3	20748140	20750140	14.16342
3	24002140	24004140	5.599693
3	25002140	25004140	5.675416
3	33526316	33528316	6.391363
3	33528316	33530316	7.555313
3	33530316	33532316	7.810767
3	33900316	33902316	6.073487
3	37346567	37348567	5.951704
3	37716098	37718098	6.186767
4	786196	788196	6.69273
4	888309	890309	5.881675
4	890309	892309	5.881676
4	1110309	1112309	7.206573
4	1244196	1246196	6.385966
4	4434196	4436196	7.694397
4	6041742	6043742	5.414892
4	8109742	8111742	8.9341
4	8247742	8249742	6.268804
4	8287742	8289742	5.915207
4	10796674	10798674	7.346219
4	17607452	17609452	6.50094
4	17923453	17925453	7.73847
4	18441453	18443453	5.843664
4	21110102	21112102	5.670748
4	21756959	21758959	5.428457
4	22280102	22282102	6.112771
4	22280959	22282959	5.862509
4	22282959	22284959	8.291794
4	25232102	25234102	7.938849
4	25232959	25234959	8.27354
4	25338102	25340102	5.535083
4	27509396	27511396	6.597361
4	27513396	27515396	5.930217
4	27923396	27925396	5.669083
4	28081396	28083396	5.821961
4	28083396	28085396	5.822008
4	35652931	35654931	7.675182
4	38008291	38010291	6.138819
4	38652291	38654291	6.060469
4	40179141	40181141	6.590152
4	40181141	40183141	9.568823
4	41451141	41453141	8.182868
4	45057227	45059227	5.860434
4	45065227	45067227	5.33343
4	49890380	49892380	5.805117
4	49891227	49893227	5.914549
4	49892380	49894380	7.235226
4	49893227	49895227	5.847899
4	51610280	51612280	5.468484
4	51673820	51675820	5.589307
5	1263138	1265138	5.94243037221342
5	1297138	1299138	5.64303384745409
5	1299138	1301138	5.64176459078186
5	1437138	1439138	6.48513638604883
5	1755138	1757138	5.48879438709058
5	5153138	5155138	5.42200586800333
5	5155138	5157138	5.42272620560272
5	13054614	13056614	7.6027
5	13838614	13840614	5.627246
5	14456614	14458614	5.474672
5	14464627	14466627	7.337234
5	14506614	14508614	6.279785
5	14508614	14510614	6.279759
5	14790614	14792614	5.452425
5	14792614	14794614	5.45236
5	15029038	15031038	5.891093
5	15342614	15344614	5.426347
5	15344614	15346614	5.426348
5	15865038	15867038	7.163487
5	15867038	15869038	7.169025
5	15923038	15925038	6.484781
5	16278386	16280386	6.16049
5	16292386	16294386	5.360172
5	20976840	20978840	5.523333
5	21292836	21294836	5.948188
5	22190840	22192840	6.743326
5	22192840	22194840	6.83037
5	22204836	22206836	5.781444
5	23510836	23512836	7.832017
5	23512836	23514836	7.313319
5	23514836	23516836	10.65056
5	23514840	23516840	6.961108
5	23566836	23568836	6.051019
5	24332836	24334836	5.433909
5	24332840	24334840	5.563726
5	24334836	24336836	5.790844
5	25344836	25346836	5.399608
5	25344840	25346840	7.058902
5	25682234	25684234	6.25203995153474
5	27244234	27246234	5.61671018356355
5	31245522	31247522	5.661105
5	31247522	31249522	5.661105
5	31269522	31271522	5.661106
5	31803544	31805544	7.531677
5	32485544	32487544	9.302787
5	32487544	32489544	9.298189
5	37765210	37767210	6.3673050487801
5	37767210	37769210	6.70283163191595
5	37773210	37775210	8.28077952388167
5	37775210	37777210	8.09761046912606
5	43116054	43118054	5.828178
5	43118054	43120054	5.828608
5	43432054	43434054	7.209756
5	43434054	43436054	5.710893
