c	up	dw	sco
1	359961	361961	8.054402
1	361961	363961	8.052731
1	671961	673961	6.319292
1	1315961	1317961	6.738364
1	2779961	2781961	7.350138
1	3233961	3235961	11.348824
1	3307961	3309961	6.568447
1	3311961	3313961	6.692583
1	3313961	3315961	6.92261
1	3315961	3317961	7.211257
1	3633961	3635961	6.561493
1	4629961	4631961	6.319154
1	4631961	4633961	6.319246
1	4639657	4641657	6.364529
1	4673961	4675961	7.253037
1	4775657	4777657	6.544082
1	4935268	4937268	7.746089
1	5827657	5829657	6.511609
1	5829657	5831657	6.512952
1	6195657	6197657	6.595262
1	6459657	6461657	6.430864
1	6475657	6477657	6.431337
1	6477657	6479657	6.42943
1	6889657	6891657	6.358922
1	6891657	6893657	6.482307
1	6933657	6935657	6.540335
1	6935657	6937657	6.548175
1	7017657	7019657	6.303388
1	7019657	7021657	6.308557
1	7081657	7083657	7.59257
1	7653657	7655657	6.64195
1	7789657	7791657	6.334988
1	7791657	7793657	6.338749
1	8277657	8279657	6.285779
1	8279657	8281657	7.03289
1	8285657	8287657	7.019541
1	8289657	8291657	7.05866
1	8291657	8293657	7.32214
1	8991657	8993657	7.689384
1	8993657	8995657	7.683428
1	9011657	9013657	6.340481
1	9013657	9015657	6.341917
1	9700381	9702381	9.299754
1	9702381	9704381	9.293335
1	9745657	9747657	6.372929
1	9747657	9749657	6.88254
1	9821657	9823657	7.198389
1	12226381	12228381	6.388847
1	13894381	13896381	6.908
1	13896381	13898381	6.907901
1	13914381	13916381	6.90793
1	13916381	13918381	6.907958
1	14018381	14020381	6.899428
1	14048381	14050381	6.899459
1	14656532	14658532	6.587626
1	17882532	17884532	8.152831
1	18722532	18724532	12.466508
1	18724532	18726532	11.989143
1	18726532	18728532	8.762615
1	23420554	23422554	6.287876
1	23968554	23970554	6.800045
1	23970554	23972554	7.413682
1	23990554	23992554	6.918852
1	23992554	23994554	7.614315
1	23994554	23996554	7.338201
1	26316778	26318778	8.654754
1	27176453	27178453	15.500815
1	27178453	27180453	16.780325
1	28494453	28496453	7.634817
1	32779827	32781827	6.356387
1	40199769	40201769	7.090448
1	41161492	41163492	9.191461
1	41163492	41165492	12.120854
1	41165492	41167492	15.262651
1	41171492	41173492	8.813847
2	3305317	3307317	6.745278
2	3307317	3309317	6.74521
2	3975317	3977317	7.257809
2	3977317	3979317	7.257059
2	3995317	3997317	6.419075
2	4125317	4127317	6.401029
2	4147317	4149317	7.07988
2	4149317	4151317	6.524569
2	4151317	4153317	8.308675
2	4153317	4155317	8.308738
2	4177317	4179317	6.657022
2	4649317	4651317	6.327821
2	4752962	4754962	6.603362
2	4754962	4756962	6.603042
2	7360962	7362962	6.798361
2	7362962	7364962	6.806317
2	7364962	7366962	7.493683
2	7366962	7368962	6.464772
2	7372962	7374962	6.655462
2	7374962	7376962	7.024759
2	7376962	7378962	6.672591
2	7392962	7394962	6.359329
2	7394962	7396962	6.360386
2	7458962	7460962	6.805136
2	7810962	7812962	7.926566
2	7812962	7814962	9.438697
2	7814962	7816962	10.106454
2	7816962	7818962	12.646605
2	7818962	7820962	8.55739
2	7820962	7822962	7.083238
2	7992962	7994962	6.940888
2	8028437	8030437	12.912965
2	8162962	8164962	6.587074
2	8588962	8590962	6.586328
2	8590962	8592962	6.586921
2	9650873	9652873	6.415781
2	10232043	10234043	7.144482
2	11378873	11380873	6.544547
2	11380873	11382873	6.544544
2	12786873	12788873	6.928572
2	12788873	12790873	6.632468
2	12790873	12792873	6.632412
2	13496873	13498873	6.993918
2	13504873	13506873	6.323413
2	13506873	13508873	6.408106
2	13508873	13510873	6.524912
2	13522873	13524873	6.415779
2	13524873	13526873	6.415789
2	13690873	13692873	7.624067
2	13692873	13694873	7.623705
2	14400043	14402043	7.7867
2	14724873	14726873	6.939205
2	14754873	14756873	6.93921
2	14756873	14758873	6.939221
2	15603896	15605896	8.212678
2	16269896	16271896	7.436765
2	17589896	17591896	6.618338
2	18089896	18091896	7.107205
2	18423896	18425896	6.504637
2	18425896	18427896	6.504629
2	19701896	19703896	6.504622
2	19703896	19705896	6.50463
2	20034974	20036974	6.280567
2	20504974	20506974	6.963129
2	20856974	20858974	7.557968
2	20858974	20860974	7.557021
2	20882974	20884974	7.557657
2	23532974	23534974	7.57162
2	23534270	23536270	6.33407
2	23534974	23536974	7.260983
2	23906974	23908974	6.798952
2	23908974	23910974	6.720751
2	24572291	24574291	6.242996
2	25922291	25924291	8.11814
2	25924291	25926291	7.984378
2	28302291	28304291	6.282385
2	28304291	28306291	6.507645
2	33829248	33831248	6.431426
2	33831248	33833248	6.431445
2	40560899	40562899	6.517875
2	40562899	40564899	6.519097
2	43484899	43486899	6.428853
2	43486899	43488899	6.428851
2	44782890	44784890	6.698602
2	45564890	45566890	8.515018
2	45566890	45568890	10.37418
3	2012119	2014119	6.390944
3	2014119	2016119	6.390943
3	3616119	3618119	7.132034
3	3618119	3620119	7.132036
3	6246513	6248513	6.928471
3	6248513	6250513	6.928487
3	7374513	7376513	7.728579
3	7376513	7378513	7.341324
3	7378513	7380513	7.68805
3	8036513	8038513	6.761269
3	8040513	8042513	7.431413
3	10380513	10382513	7.594464
3	13355928	13357928	6.64895274013829
3	21396356	21398356	6.38691922683394
3	21398356	21400356	6.30648809861087
3	26463723	26465723	7.278968
3	26475723	26477723	7.279025
3	28793723	28795723	6.446639
3	31287484	31289484	6.91278660350951
3	31289484	31291484	6.91443377187699
3	38860565	38862565	6.450612
3	41105328	41107328	9.633633
3	41113328	41115328	7.592284
3	42463328	42465328	7.308187
3	42465328	42467328	6.69986
3	42467328	42469328	7.457197
4	939193	941193	7.800809
4	4567193	4569193	7.209233
4	4987875	4989875	7.716672
4	13008611	13010611	10.90102
4	17607043	17609043	7.221737
4	20935532	20937532	10.36979
4	23469532	23471532	7.348199
4	23471532	23473532	7.745806
4	23473532	23475532	7.747603
4	23485532	23487532	8.851364
4	40242958	40244958	7.228025
4	40244958	40246958	8.602864
4	40260958	40262958	7.414187
4	41786958	41788958	6.467463
4	44754958	44756958	6.860416
4	44894958	44896958	6.883228
4	44896958	44898958	6.85995
4	45715300	45717300	6.470847
4	46143300	46145300	7.432011
4	46171300	46173300	6.411797
4	46173300	46175300	6.68156
4	46175300	46177300	6.643945
4	50207300	50209300	6.368371
4	50209300	50211300	6.36608
5	5354161	5356161	7.28342
5	5474152	5476152	7.168807
5	5486152	5488152	7.168603
5	5488152	5490152	7.16878
5	6844152	6846152	8.406203
5	6850152	6852152	6.284123
5	6852152	6854152	6.28746
5	14649950	14651950	6.597258
5	14935950	14937950	6.53431
5	18620586	18622586	10.37599
5	18622586	18624586	10.03106
5	18672586	18674586	13.23565
5	22230576	22232576	6.635326
5	22232576	22234576	6.635928
5	23456576	23458576	6.327545
5	34825702	34827702	6.768391
5	34875702	34877702	6.41245
5	34877702	34879702	6.411209
5	41765878	41767878	6.730669
5	41925878	41927878	6.644573
5	41975878	41977878	6.281684
5	47107308	47109308	6.319539
5	47693308	47695308	6.974615
5	47695308	47697308	6.974661
