c	up	dw	sco
1	445184	447184	7.132617
1	1416906	1418906	7.128439
1	1531184	1533184	6.871214
1	1533184	1535184	6.875469
1	2105184	2107184	5.499287
1	2107184	2109184	5.498933
1	2941184	2943184	6.197845
1	9191209	9193209	8.157686
1	9193209	9195209	9.561992
1	9195209	9197209	6.592337
1	9195240	9197240	5.928675
1	9213240	9215240	5.873238
1	9843209	9845209	9.499261
1	9845209	9847209	12.12654
1	10836300	10838300	12.3284022664705
1	12812300	12814300	8.20025258020937
1	12814300	12816300	8.06181350776226
1	17756580	17758580	5.602208677513
1	24468572	24470572	5.51427519694293
1	24470572	24472572	5.5401644284012
1	24570661	24572661	5.553957
1	26206661	26208661	5.510432
1	26458661	26460661	7.761803
1	26460661	26462661	7.757054
1	26602650	26604650	5.570013
1	26604650	26606650	5.57203
1	27640650	27642650	9.596464
1	27640661	27642661	11.342112
1	28306661	28308661	6.491374
1	28308661	28310661	6.493327
1	28886661	28888661	8.485377
1	30774680	30776680	11.631086
1	30776445	30778445	11.002312
1	30776680	30778680	12.632697
1	31692445	31694445	6.581102
1	33494680	33496680	5.689974
1	33496680	33498680	5.689974
1	39513768	39515768	5.62345
1	39515768	39517768	5.623461
1	39851768	39853768	6.477256
1	39853768	39855768	6.391922
1	39855768	39857768	6.79304
1	41985786	41987786	7.480027
1	44991786	44993786	5.828221
2	210834	212834	7.997119
2	348809	350809	6.029935
2	350809	352809	10.760786
2	352809	354809	5.92619
2	642809	644809	8.165978
2	4554834	4556834	5.524917
2	4556834	4558834	5.525138
2	11301441	11303441	6.068588
2	11301615	11303615	7.30495
2	12301615	12303615	6.854822
2	12303615	12305615	7.476075
2	12907441	12909441	8.730585
2	12909441	12911441	8.733263
2	13163615	13165615	6.407632
2	13165615	13167615	5.634649
2	13183615	13185615	5.670443
2	14583615	14585615	5.957831
2	14585615	14587615	5.957834
2	17125617	17127617	11.537483
2	17125657	17127657	12.030292
2	17149657	17151657	5.594864
2	17151657	17153657	5.594841
2	17155617	17157617	6.078373
2	18341657	18343657	8.47969
2	19471617	19473617	28.119
2	19471657	19473657	24.39068
2	19521617	19523617	6.635256
2	19521657	19523657	13.88186
2	19523657	19525657	7.033065
2	20415732	20417732	5.66205
2	20421732	20423732	8.852536
2	20451681	20453681	11.05358
2	20453681	20455681	46.32551
2	20535681	20537681	8.257511
2	20537681	20539681	8.76883
2	21939732	21941732	6.411948
2	21941732	21943732	6.938202
2	21949732	21951732	6.768257
2	25603027	25605027	5.805497
2	26411027	26413027	5.721704
2	26413364	26415364	5.811246
2	34398460	34400460	5.636411
2	34918460	34920460	7.648637
2	46645630	46647630	6.939585
3	685258	687258	6.707377
3	799258	801258	7.283435
3	801258	803258	7.283873
3	1059258	1061258	8.690688
3	9105998	9107998	5.593687
3	9107998	9109998	5.593687
3	12548753	12550753	6.363566
3	12602753	12604753	5.832866
3	12604753	12606753	7.875069
3	14852753	14854753	6.283234
3	15032809	15034809	6.58849
3	15034809	15036809	5.560028
3	15036809	15038809	8.351231
3	15100809	15102809	7.770638
3	15102809	15104809	7.397639
3	20110634	20112634	8.105203
3	24038634	24040634	8.526444
3	24040634	24042634	9.289948
3	24042634	24044634	7.201401
3	24438347	24440347	6.923054
3	24440347	24442347	5.699944
3	29628472	29630472	7.519451
3	29630472	29632472	7.129726
3	29632472	29634472	8.28087
3	31080425	31082425	6.321063
3	31092425	31094425	6.317806
3	31094425	31096425	6.319627
3	33126425	33128425	5.521551
3	33128383	33130383	5.563124
3	33528425	33530425	6.070106
3	33530425	33532425	6.069241
3	33632383	33634383	6.093413
3	39325965	39327965	6.953174
3	39367965	39369965	6.047395
3	40670255	40672255	7.714348
3	42124128	42126128	5.784979
3	42126128	42128128	6.631388
3	42128128	42130128	6.827836
4	855358	857358	8.662877
4	1565244	1567244	8.95169
4	1567244	1569244	8.923076
4	6561687	6563687	7.743259
4	6878650	6880650	5.621866
4	6885687	6887687	7.882457
4	7907687	7909687	6.082531
4	10379687	10381687	7.740151
4	10381687	10383687	6.446965
4	10383687	10385687	7.18698
4	17809449	17811449	5.500303
4	18511449	18513449	6.064439
4	18524770	18526770	5.645582
4	18651449	18653449	6.492964
4	18980770	18982770	11.07218
4	18982770	18984770	9.738646
4	18984770	18986770	10.91453
4	19172770	19174770	6.042083
4	19413449	19415449	6.074614
4	20247449	20249449	5.891541
4	29273450	29275450	9.112663
4	29275450	29277450	9.1248
4	29291450	29293450	5.887788
4	30427450	30429450	8.449308
4	31650270	31652270	7.404334
4	31788270	31790270	5.813015
4	31788284	31790284	12.2411
4	31790270	31792270	7.061741
4	31790284	31792284	11.59187
4	31792284	31794284	5.845761
4	31956270	31958270	5.936825
4	35006270	35008270	7.075999
4	35008270	35010270	7.080485
4	37083865	37085865	5.989174
4	40138982	40140982	10.85678
4	40196982	40198982	9.667417
4	40210982	40212982	16.93085
4	40240982	40242982	6.735836
4	44956380	44958380	5.68320161260961
4	44958380	44960380	5.69308377757942
5	1018668	1020668	5.766224
5	1020668	1022668	5.55151
5	1022668	1024668	5.981745
5	3100668	3102668	6.168577
5	3102668	3104668	6.683821
5	6733907	6735907	16.8498005418818
5	6735907	6737907	16.8999762484225
5	6737907	6739907	29.1333929542527
5	6739907	6741907	28.4078229324477
5	11572638	11574638	5.548202
5	12742675	12744675	6.445082
5	12748675	12750675	6.429286
5	13634638	13636638	7.273923
5	13858675	13860675	6.950108
5	13860675	13862675	7.039468
5	15358638	15360638	6.078306
5	15360638	15362638	6.078333
5	15449328	15451328	7.518759
5	15451328	15453328	5.947407
5	15995328	15997328	6.901721
5	15997328	15999328	5.876892
5	15999328	16001328	8.320077
5	16011328	16013328	11.16121
5	16027358	16029358	5.978598
5	16029358	16031358	6.150525
5	16703328	16705328	5.705925
5	16705328	16707328	5.654409
5	16707328	16709328	6.080407
5	16709328	16711328	6.080406
5	17077328	17079328	6.009696
5	18501328	18503328	7.600095
5	24252810	24254810	6.245638
5	24254810	24256810	6.245637
5	24255554	24257554	6.426046
5	24257554	24259554	9.777678
5	24291554	24293554	9.785914
5	24293554	24295554	9.784099
5	24950810	24952810	6.305512
5	24952810	24954810	6.30541
5	25383554	25385554	6.113557
5	25385554	25387554	6.104807
5	25387554	25389554	6.139571
5	25389554	25391554	6.139578
5	25919872	25921872	6.873945
5	25951872	25953872	6.949138
5	25953872	25955872	6.882034
5	27933957	27935957	7.133115
5	27935957	27937957	7.131774
5	27939957	27941957	5.606358
5	34991435	34993435	5.697022
5	35088615	35090615	6.775572
5	35090615	35092615	6.337355
5	35091435	35093435	5.706872
5	35401530	35403530	10.8290909945988
5	37776615	37778615	6.824029
5	37778615	37780615	6.820013
5	37949435	37951435	14.14575
5	37950615	37952615	11.67257
5	37951435	37953435	13.3398
5	38003435	38005435	14.60701
5	38005435	38007435	14.32587
5	38229435	38231435	6.029707
5	43176223	43178223	5.945004
5	43178223	43180223	5.944984
5	43448223	43450223	5.632857
5	43450223	43452223	5.633383
