c	up	dw	sco
1	18703	20703	5.641168
1	26906	28906	6.481175
1	112703	114703	6.53647
1	154906	156906	6.534124
1	222906	224906	6.041385
1	882703	884703	5.632814
1	1032703	1034703	5.541893
1	1088906	1090906	5.756463
1	1580703	1582703	6.171098
1	2712703	2714703	6.172803
1	2714703	2716703	6.172224
1	5279240	5281240	5.525514
1	9198876	9200876	9.860794
1	9200876	9202876	8.582474
1	9206876	9208876	6.712133
1	9207240	9209240	8.129823
1	9208876	9210876	6.510136
1	9216876	9218876	6.47095
1	9218876	9220876	5.992869
1	9220876	9222876	5.760994
1	9752342	9754342	5.489512
1	9756342	9758342	7.00048
1	9766342	9768342	8.859025
1	9795240	9797240	10.875548
1	9796876	9798876	5.424627
1	9797240	9799240	6.950839
1	9803240	9805240	6.055697
1	9804876	9806876	8.180635
1	9805240	9807240	13.923612
1	9842876	9844876	12.231707
1	9844876	9846876	11.426248
1	14016342	14018342	6.671135
1	18929858	18931858	6.32066
1	22294572	22296572	5.89924594309904
1	25668772	25670772	6.002968
1	25670772	25672772	6.001947
1	27098772	27100772	7.011798
1	27100772	27102772	7.019771
1	30609750	30611750	5.468023
1	37766739	37768739	6.20033
1	37768739	37770739	6.200626
1	38224739	38226739	9.108274
1	38226739	38228739	9.099808
1	39511768	39513768	6.156027
1	39513768	39515768	6.156026
1	39515768	39517768	6.156026
1	40806315	40808315	6.72825
1	43238315	43240315	9.727548
1	44214315	44216315	7.655716
1	44216315	44218315	7.656344
2	770991	772991	5.409573
2	947002	949002	5.592886
2	1315002	1317002	7.010106
2	1316991	1318991	5.612742
2	1317002	1319002	6.99389
2	1390991	1392991	6.812142
2	1391002	1393002	14.607821
2	1555002	1557002	6.366657
2	1557002	1559002	6.366203
2	1603002	1605002	5.825969
2	2935002	2937002	6.642988
2	2937002	2939002	6.643354
2	2947002	2949002	6.641062
2	6234749	6236749	5.650752
2	7110749	7112749	14.089163
2	7356698	7358698	11.029255
2	7358698	7360698	10.934628
2	9604326	9606326	8.968703
2	10852615	10854615	5.463673
2	10854615	10856615	5.463718
2	11756615	11758615	5.810885
2	15975617	15977617	5.476197
2	16963775	16965775	5.387414
2	17711775	17713775	5.64213
2	17871617	17873617	5.482299
2	17873617	17875617	5.4826
2	18053775	18055775	5.735228
2	21939736	21941736	5.976528
2	21941736	21943736	6.6229
2	22042117	22044117	5.954937
2	22044117	22046117	5.956246
2	24603736	24605736	5.777694
2	31487835	31489835	7.310995
2	31489835	31491835	7.317245
2	32993835	32995835	5.914891
2	34592598	34594598	8.052372
2	35112598	35114598	6.642855
2	36378899	36380899	6.020522
2	36380899	36382899	6.020515
2	36432899	36434899	5.890401
2	36748899	36750899	6.036135
2	36750899	36752899	6.036232
2	45291630	45293630	5.840163
2	45291922	45293922	6.047376
2	45293630	45295630	5.764143
2	45293922	45295922	6.052776
2	45577922	45579922	6.98839
2	45823922	45825922	5.425634
2	45825922	45827922	5.425659
2	46639922	46641922	7.002685
2	46641922	46643922	7.00271
2	46645922	46647922	5.994311
2	46647922	46649922	5.862753
2	46649922	46651922	5.862888
