c	up	dw	sco
1	44174	46174	5.684742
1	146906	148906	6.272468
1	246906	248906	5.894089
1	290906	292906	7.212181
1	292906	294906	7.212184
1	722906	724906	5.771636
1	1212906	1214906	7.039972
1	2712906	2714906	6.30212
1	4512870	4514870	6.106544
1	4530870	4532870	8.522496
1	6896919	6898919	6.374032
1	6900919	6902919	7.519044
1	7166919	7168919	6.388607
1	7168919	7170919	6.388404
1	7780919	7782919	5.746896
1	8728919	8730919	7.40197
1	9198870	9200870	9.543907
1	9200870	9202870	9.211387
1	9224870	9226870	11.186415
1	9384870	9386870	10.175804
1	9386870	9388870	10.038661
1	9388870	9390870	12.390797
1	9655891	9657891	7.328409
1	9749891	9751891	8.715608
1	9789891	9791891	7.007025
1	9804870	9806870	7.332911
1	9816919	9818919	5.783012
1	11717891	11719891	8.355996
1	12763891	12765891	6.593793
1	12875891	12877891	6.831986
1	13047891	13049891	6.336124
1	18894829	18896829	6.040387
1	18896829	18898829	6.040522
1	19534928	19536928	6.454581
1	19536928	19538928	6.454564
1	23798572	23800572	8.33031731527395
1	28564650	28566650	6.20623406349519
1	28566650	28568650	6.27237054512518
1	28616650	28618650	6.2311211223381
1	28618650	28620650	6.23671292276372
1	31144445	31146445	7.363788
2	3007789	3009789	5.836679
2	3869789	3871789	5.697233
2	3873789	3875789	6.170706
2	6739592	6741592	5.752056
2	7856493	7858493	5.727388
2	7858493	7860493	5.727384
2	8054493	8056493	5.749173
2	8056493	8058493	5.749174
2	11125519	11127519	7.142831
2	11386273	11388273	5.75238
2	11388273	11390273	5.75238
2	11407519	11409519	6.575879
2	11409519	11411519	10.82118
2	11411519	11413519	10.102368
2	11413519	11415519	8.110326
2	12417519	12419519	7.3807
2	12419519	12421519	7.381243
2	14741519	14743519	9.505849
2	14743519	14745519	8.791333
2	14745519	14747519	12.785398
2	19599590	19601590	7.98115303124267
2	19601590	19603590	8.06114665835032
2	19603590	19605590	9.56029071859546
2	19967590	19969590	6.327746
2	19969590	19971590	6.33023
2	21835229	21837229	5.900047
2	21837229	21839229	5.900263
2	22095229	22097229	6.003505
2	22459636	22461636	6.600301
2	22461636	22463636	6.600806
2	22475636	22477636	6.60119
2	23851229	23853229	5.855121
2	24967229	24969229	16.10419
2	24969229	24971229	32.87575
2	24971229	24973229	11.65615
2	25474652	25476652	6.536018
2	25490325	25492325	6.15584
2	26688652	26690652	6.591072
2	26690652	26692652	6.590202
2	26708652	26710652	6.591053
2	26710652	26712652	6.590503
2	27412652	27414652	5.799998
2	27414652	27416652	5.800002
2	29006325	29008325	8.402747
2	29008325	29010325	8.389053
2	31345984	31347984	7.860727
2	31346080	31348080	14.02005
2	33048080	33050080	7.212987
2	33636080	33638080	6.752254
2	34762080	34764080	6.194595
2	36659986	36661986	6.612601
2	36661986	36663986	6.282595
2	36725986	36727986	5.699857
2	36727986	36729986	5.809192
2	37250920	37252920	7.122425
2	37340920	37342920	6.274083
2	37342920	37344920	6.274086
2	46395850	46397850	5.905213
2	46397850	46399850	5.905214
3	980124	982124	6.154925
3	1486140	1488140	7.430867
3	1492140	1494140	6.303894
3	1754140	1756140	8.750522
3	1756140	1758140	9.787206
3	1890124	1892124	6.257395
3	1892124	1894124	6.257386
3	3808140	3810140	5.977577
3	4656124	4658124	6.505605
3	5587445	5589445	5.848567
3	6329445	6331445	6.04963
3	12380720	12382720	7.376242
3	12386720	12388720	5.965529
3	12388720	12390720	5.785692
3	13644720	13646720	9.384451
3	13646720	13648720	9.382327
3	14176691	14178691	10.01594
3	20245859	20247859	7.295599
3	20741859	20743859	6.179674
3	20746140	20748140	9.95178
3	20748140	20750140	18.1466
3	22391859	22393859	6.71052
3	23946140	23948140	6.165751
3	25062404	25064404	7.93531
3	25066404	25068404	7.934449
3	29464404	29466404	7.263551
3	29526404	29528404	6.472679
3	29528404	29530404	7.894096
3	30997777	30999777	6.743634
3	30999777	31001777	6.743629
3	32164660	32166660	5.952416
3	32166660	32168660	5.974798
3	33530660	33532660	8.065825
3	33631777	33633777	6.375826
3	33944660	33946660	6.616009
3	33946660	33948660	11.22829
3	33948660	33950660	10.49699
3	35963977	35965977	6.016969
3	35965977	35967977	6.016959
4	471244	473244	5.912482
4	503217	505217	6.806629
4	505217	507217	6.804091
4	917217	919217	7.913672
4	921217	923217	6.032663
4	923217	925217	6.355845
4	3015244	3017244	8.685305
4	3407244	3409244	6.452246
4	6545678	6547678	6.147162
4	11071106	11073106	5.976558
4	11094231	11096231	7.236653
4	12370231	12372231	7.392334
4	17819453	17821453	7.059455
4	18695453	18697453	7.162397
4	20088060	20090060	6.202721
4	21813889	21815889	8.002875
4	23116060	23118060	5.814054
4	23118060	23120060	5.814099
4	23512060	23514060	6.495716
4	24198060	24200060	5.859247
4	24558060	24560060	6.515468
4	26683348	26685348	7.355612
4	28137348	28139348	6.77424
4	29269348	29271348	6.544802
4	29271348	29273348	6.433329
4	31703973	31705973	5.788586
4	31733973	31735973	6.554386
4	31786012	31788012	5.819532
4	31788012	31790012	6.683332
4	31908012	31910012	5.846912
4	34481973	34483973	5.679686
4	35614985	35616985	6.48711781875819
4	35652985	35654985	6.61812209550356
4	43666871	43668871	9.068932
4	43758871	43760871	5.945565
4	43760827	43762827	6.366413
4	43794871	43796871	8.057575
4	46272380	46274380	5.820528
4	48972147	48974147	6.74127
5	645607	647607	7.639074
5	647607	649607	7.596867
5	649607	651607	7.615623
5	753607	755607	5.822575
5	768634	770634	5.908046
5	770634	772634	5.907626
5	1527607	1529607	7.050107
5	1529607	1531607	7.048884
5	1629607	1631607	6.233264
5	1631607	1633607	6.234284
5	2024634	2026634	6.548778
5	2026634	2028634	6.549054
5	2048634	2050634	7.645107
5	2050634	2052634	7.647023
5	2354634	2356634	7.088386
5	3166634	3168634	7.155608
5	5314634	5316634	5.76658
5	5316634	5318634	5.766654
5	6792046	6794046	6.24812
5	6794046	6796046	6.248125
5	6850046	6852046	14.42612
5	7053706	7055706	8.127339
5	7055706	7057706	8.127537
5	11342614	11344614	6.583713
5	13891965	13893965	6.419225
5	13949965	13951965	8.472568
5	13977965	13979965	5.945155
5	14090614	14092614	6.398401
5	14092614	14094614	6.398703
5	14147965	14149965	8.184566
5	14149965	14151965	9.149941
5	14151965	14153965	9.149188
5	14376614	14378614	6.045386
5	14460614	14462614	6.747933
5	14462614	14464614	6.747266
5	14463965	14465965	10.04086
5	14626614	14628614	9.213304
5	16257386	16259386	6.542484
5	17453386	17455386	6.084455
5	18221386	18223386	5.807503
5	18223386	18225386	5.806975
5	20976840	20978840	5.926094
5	22212840	22214840	5.765308
5	22214840	22216840	7.210854
5	22950840	22952840	7.239844
5	22952840	22954840	7.239758
5	23054653	23056653	7.071741
5	23056653	23058653	8.022342
5	23086653	23088653	28.86554
5	23606840	23608840	7.023116
5	24122840	24124840	5.954038
5	24126840	24128840	6.033091
5	27667791	27669791	6.406434
5	28021875	28023875	6.186741
5	28071875	28073875	8.159472
5	28073875	28075875	5.872624
5	31245026	31247026	6.559234
5	32485544	32487544	7.149055
5	34855026	34857026	5.796241
5	42036203	42038203	5.980375
5	43170154	43172154	6.909594
